"","Id2","TotalTotalPopulation","MaleTotalPopulation","FemaleTotalPopulation","M_5To14Years","F_5To14Years","M_15To17Years","F_15To17Years","M_18To24Years","F_18To24Years","M_15To44Years","F_15To44Years","M_18YearsAndOver","F_18YearsAndOver","M_MedianAge","F_MedianAge","M_Percent","F_Percent"
"34",680,56003,27185,28818,12.2,10.8,3.8,2.3,16.8,13.9,42.8,37.5,78.4,82.6,34.8,42.2,49,52
"35",682,32509,15243,17266,11.3,10,4.8,5.5,18.2,15.5,46.1,42.1,78.8,78.8,32.2,37.7,47,54
"36",683,33442,16308,17134,12.6,11.2,4.4,4,11.4,10.4,39.8,37.8,76.8,80,38.7,42.4,49,52
"37",685,41947,20471,21476,14.2,12.8,4.7,4.3,9.7,8.1,38,36.6,75.2,77.5,37.9,41.6,49,52
"38",687,32609,16240,16369,15.9,14.6,5.3,4.9,11.6,10.8,43,43,72.2,74.2,32.3,34.8,50,51
"39",688,13340,6755,6585,10.8,11.1,4.9,4.3,11.2,10.2,46.9,38.4,81,79.4,37.2,43.1,51,50
"40",690,6299,2963,3336,16,15.1,5.5,4,10.9,7.6,42.3,41.7,70.2,74.4,29.3,36,48,53
"41",692,37618,17877,19741,15.6,13.8,4.8,4.3,11.1,10,41.4,42.2,72.6,75.7,34.3,36.1,48,53
"42",693,60211,29119,31092,15.1,13,4.8,4.3,10.2,8.9,40.7,39.2,73.6,77.5,35.5,39.6,49,52
"43",694,157,99,58,0,0,15.2,0,0,0,15.2,0,84.8,100,60.6,75.2,64,37
"44",698,41179,19902,21277,14.4,12.2,4.8,4.1,10.1,9,39.6,38.4,74.7,78.3,36.8,40.8,49,52
"45",703,29153,14127,15026,14.8,13.5,4.6,3.9,10.2,10.3,41.1,40.5,73.3,76.8,34.1,37.2,49,52
"46",704,7867,3966,3901,17.9,14.9,5.5,4.3,9.6,4.8,44.3,40.8,67.8,71.5,30.6,34.8,51,50
"47",705,25373,12307,13066,14.1,12.3,4.9,4.2,11.3,9.9,40.9,38.1,75,77.7,35.8,39.9,49,52
"48",707,12070,5960,6110,12.9,12.6,4.9,4.5,10.2,10,39.4,38.6,75.9,77.4,38.8,39.5,50,51
"49",714,19443,9142,10301,15.9,13.6,5,4.6,10.4,9.2,40.6,40.9,72,75.7,34.3,36.8,48,53
"50",715,4315,2275,2040,12.4,15.2,4.1,4.5,10.5,7.6,35.5,37.8,76.4,75.1,41.7,40.5,53,48
"51",716,32180,15545,16635,16.1,13.5,5,3.8,8.8,8.7,38.5,35.4,71.1,77.7,34.2,40.8,49,52
"52",717,17972,7860,10112,16.9,13.4,4.7,3.5,13.6,12.7,40.9,40.5,71.2,78.4,30.6,35,44,57
"53",718,26767,12791,13976,15.9,14,4.7,4.4,10.2,9.8,42,42.9,72.4,75.3,33.6,35.9,48,53
"54",719,30793,15235,15558,13.8,13.9,4.9,4.3,11.6,10.4,42.4,40,75,75.8,34.9,36.6,50,51
"55",720,23080,11626,11454,15.4,13.8,5.7,5.4,11.9,10.9,42.5,42.1,72.9,75.2,34.1,36.4,51,50
"56",723,19017,9382,9635,13.6,12.1,4.9,4.5,10.9,9.7,39.3,38,75.3,78,37.6,41.8,50,51
"57",725,90206,42670,47536,15.4,12.8,4.6,3.9,11.1,9.1,41.1,39.1,73.4,78.4,34.5,39.9,48,53
"58",727,56972,26747,30225,13.4,11.7,5.1,4.5,9.8,9.6,42.5,40.5,75.8,78.1,37.2,39.4,47,54
"59",728,42692,21175,21517,13.9,11.9,4,4.8,14.3,11,46.8,39.9,77.1,77.5,33.2,39.8,50,51
"60",729,54768,26204,28564,15.8,13.8,5.5,4.5,11.3,10.2,42,42.3,71.4,75.5,33.6,36.2,48,53
"61",730,37931,17904,20027,14.3,12.6,5,4.5,10.6,9.9,39.6,37.5,73.4,76.8,34.6,40.1,48,53
"62",731,14525,7077,7448,10.8,9.4,4.8,3.5,10.3,9.9,39.9,37.1,78.4,80.2,39.7,41.7,49,52
"63",735,13495,6374,7121,14.9,12.1,5,4.1,10.2,9.5,39.5,39.3,74,78.4,36.9,40.4,48,53
"64",736,51576,25093,26483,14.3,11.8,4.8,4.1,10.9,10.4,41.2,40.7,75.3,78.2,36.4,38.9,49,52
"65",738,34492,16338,18154,14.6,12.6,4.8,4.1,11.2,9.1,40.9,39.1,74.2,78,36.5,39.6,48,53
"66",739,38673,18774,19899,14,13.3,4.7,4.6,10.7,9.5,41.4,40.8,75,76.8,35.9,37.7,49,52
"67",740,1760,718,1042,19.5,9.6,8.4,9.6,3.3,14,41.8,45.2,61.6,66.6,31.6,26.2,41,60
"68",741,5025,2112,2913,7,11.9,3,4.3,10.4,9.1,36.6,38.1,81,78.2,38.8,42.1,43,58
"69",745,54681,26699,27982,14.5,13,5,4.3,10.5,9.7,42.7,40.1,74.6,77.5,35.5,39.1,49,52
"70",751,23430,11205,12225,14,13,6.3,5,11.2,10.8,40.7,40.6,73.5,76.2,34.6,36.7,48,53
"71",754,40330,19790,20540,14.1,12.3,4.7,4.5,10.1,9.9,41.2,41.2,75.1,78,36.4,38.2,50,51
"72",757,23231,11226,12005,17.7,14.8,5.4,4.9,9.8,9.7,42.4,43.6,70,73.8,33,35,49,52
"73",765,9206,4665,4541,12.1,12,6.3,2,9.6,9.4,38.8,33.4,74.8,79,40.8,43.8,51,50
"74",766,25991,12759,13232,15,14.2,5.9,4.9,12.5,10.9,42.8,40.9,72.3,74.6,32.6,36,50,51
"75",767,37442,18240,19202,14.5,12.8,4.6,4.5,10.2,9.9,39.9,39.8,74.6,77,36.5,38.8,49,52
"76",769,40026,19460,20566,14.9,13.9,4.9,4.4,10.5,9.5,41.6,41.1,73.3,75.6,34.8,36.5,49,52
"77",771,38504,18689,19815,15.2,13.2,4.6,4.2,9.7,9.1,42.1,42.6,73.5,77.2,34.9,36.8,49,52
"78",772,21712,10417,11295,14.6,12.8,4.9,5,11.3,11.5,42.6,42,74.2,76.7,33.9,36.4,48,53
"79",773,19918,9434,10484,14.4,13.5,5,4.5,10.3,9.3,40.2,39.4,74.3,76.3,36.7,39.4,48,53
"80",775,1478,822,656,8.8,9.3,1.5,4,7.9,12.8,49.6,29.7,84.4,77.1,33.7,45.6,56,45
"81",777,40892,19515,21377,15.6,13.8,4.9,4.3,10.2,9.6,44,43.7,72.6,75.7,33.7,35.6,48,53
"82",778,46109,22000,24109,15.3,14.2,5,4.4,9.8,9.2,43.7,42.5,73.3,75.8,35.1,36.7,48,53
"83",780,13418,6697,6721,11.1,13.9,5.6,5,10.5,8.3,44.4,40.2,75.9,75.1,36.9,38.6,50,51
"84",782,18504,9270,9234,14.6,12.8,4.9,4.6,11.4,10,42.1,40.1,75.5,76.9,35.1,37.9,51,50
"85",783,36466,17814,18652,14.7,12.7,5,4.7,11.2,10.4,41.4,41,73.5,76.4,34.3,37.1,49,52
"86",784,43746,21573,22173,15.4,14.1,5.2,4.6,10.8,9.5,44.3,40.5,73.2,75.9,33.3,37.3,50,51
"87",786,335,172,163,16.9,0,15.7,8,0,8.6,36,46,67.4,92,39.6,47.2,52,49
"88",791,52760,25306,27454,14.4,12.2,4.9,4.2,10.6,9.6,41.3,39.2,74.8,78.4,36.5,40.3,48,53
"89",794,30688,15113,15575,15.7,13.5,5.9,5.2,12.7,11.5,43.5,42.4,71.7,74.4,30.8,34.8,50,51
"90",795,47580,22649,24931,15.7,13.5,5.5,4.9,10.6,10.3,41.3,41.8,72.2,75.3,34.3,36.2,48,53
"91",901,6444,3487,2957,6.4,5.1,1.5,3.3,13.6,7.5,49,40.3,88.2,88.6,39,46.1,55,46
"92",906,36,25,11,0,0,0,0,56,0,100,0,100,100,NA,NA,70,31
"93",907,17696,8224,9472,11.1,7.4,3.3,2,7.6,7.3,36.7,31.7,82.2,87.7,44.4,50.7,47,54
"94",909,5910,2847,3063,11.6,11.2,4,3.2,14,10.2,43.9,36.9,79.9,83,36.7,44,49,52
"95",911,7595,3566,4029,6.7,8.4,3,1.1,8.4,5.7,39.6,27.8,84.1,85.8,43,53.2,47,54
"96",912,6541,3018,3523,12.3,7.8,5.7,3.3,9.3,15.1,46,44.1,78.8,81.7,36.7,39.8,47,54
"97",913,8255,3531,4724,17.6,17,7.6,3.7,9.2,12.5,41.2,41.4,61.8,69.9,26.8,31.2,43,58
"98",915,31812,14594,17218,12.9,13.5,5.4,4.1,12.6,10.4,39.8,39.5,74.8,77.1,36.3,37.5,46,55
"99",917,20557,9354,11203,9.6,8.9,3.7,2.2,10.9,9.6,38.5,35.3,82.5,84.6,42.2,46.6,46,55
"100",918,16472,7046,9426,11.3,7.7,2.9,2.1,8.2,11.2,40.6,39.5,76.4,83.8,37.1,42.2,43,58
"101",920,18540,8602,9938,10.5,9.2,2.9,3.5,9.9,7,42.1,35.3,81.3,83.8,39.7,46.8,47,54
"102",921,38077,17016,21061,12.2,10.3,4.7,4.3,10.5,9.4,42.6,39.6,75,78.7,34.5,39.3,45,56
"103",923,28618,13305,15313,15.8,11.5,4,4.2,12.2,10.6,42.2,39.1,72.9,79.6,33.2,39.9,47,54
"104",924,58061,26194,31867,16.6,14,6,4.1,9.8,8.9,38.1,39.1,68.8,76,31.8,37.2,46,55
"105",925,6877,3547,3330,7.9,4.7,0.6,3.4,25.6,30.7,56.7,57.6,88.9,86.9,33,31.6,52,49
"106",926,107139,49782,57357,13.6,11,4.3,3.8,9.8,8.7,42,38.9,77.3,80.5,37.6,42,47,54
"107",927,15340,6666,8674,12.9,9.3,3.3,3.7,10.2,8.2,37.3,32.8,79.4,84.3,40.3,49.5,44,57
"108",934,245,154,91,23.4,8.8,0,0,11.7,11,51.3,49.5,63.6,68.1,31.1,26.5,63,38
"109",936,1151,622,529,0,0,0,0,0.2,7,31.7,27.6,90.7,95.8,55.1,54.7,55,46
"110",949,81758,38906,42852,15.2,12.6,4.5,3.9,10.5,9.5,42.8,40.4,74.2,77.9,34.5,37.7,48,53
"111",950,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",951,16,9,7,0,0,0,0,0,0,0,0,100,100,NA,NA,57,44
"113",952,9611,4642,4969,10.4,11.1,4.3,4.7,13.8,12,41.4,39,77.1,80.2,35.7,42.9,49,52
"114",953,73236,35335,37901,16.3,14.4,5.2,5,10.7,10.1,44,43.6,72.2,74.7,34,35.5,49,52
"115",956,77151,36955,40196,15,12.2,4.3,3.1,10.7,9.5,41.1,39,74.8,79.7,34.7,40.7,48,53
"116",957,46252,21632,24620,16.4,12.9,5.6,4.8,10.7,8.7,40.2,39.4,70.9,77.7,33.2,40.1,47,54
