"","Id2","M_MedianEarnings_LessThanHighSchoolGraduate","F_MedianEarnings_LessThanHighSchoolGraduate","M_MedianEarnings_HighSchoolGraduate","F_MedianEarnings_HighSchoolGraduate","M_MedianEarnings_SomeCollegeOrAssociate'sDegree","F_MedianEarnings_SomeCollegeOrAssociate'sDegree","M_MedianEarnings_Bachelor'sDegree","F_MedianEarnings_Bachelor'sDegree","M_MedianEarnings_GraduateOrProfessionalDegree","F_MedianEarnings_GraduateOrProfessionalDegree"
"2787",10975,NA,NA,NA,NA,NA,50774,NA,NA,NA,57083
"2788",10976,NA,NA,NA,15208,52202,35781,49211,41825,129219,21696
"2789",10977,21241,15093,28233,20970,38669,27883,48750,42263,79901,64430
"2790",10979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2791",10980,49375,11654,47240,33365,70208,52091,65375,51038,93269,64833
"2792",10983,NA,4844,55417,24917,80859,85089,85469,62861,104375,61964
"2793",10984,NA,NA,27480,43188,78075,38333,67474,17188,80789,63125
"2794",10985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2795",10986,NA,NA,46750,48250,64250,22361,121688,48077,101806,66518
"2796",10987,NA,18571,54276,40313,59479,34135,104063,46250,106528,76313
"2797",10988,NA,NA,40391,105145,70833,40536,80313,25313,NA,NA
"2798",10989,26944,NA,52250,41071,56991,34318,75625,68887,87083,85577
"2799",10990,36000,9556,43456,26186,71125,42951,76726,38304,113438,64046
"2800",10992,NA,5865,45066,26317,53656,28563,77639,55056,80588,66912
"2801",10993,31543,14313,21101,32835,49674,32161,54205,44519,125711,NA
"2802",10994,NA,44625,89342,20833,51250,25357,82692,53906,154583,73839
"2803",10996,NA,NA,115227,27321,33125,21705,54688,14907,100163,67321
"2804",10998,NA,NA,49891,8750,45469,43868,95568,31957,90096,79868
"2805",11001,23925,11667,43385,28246,63408,43825,67583,52179,87243,70927
"2806",11003,32224,15278,34400,32152,43771,35575,62220,53984,54727,71250
"2807",11004,21735,30481,47340,32546,52313,43843,60549,47616,75684,73281
"2808",11005,NA,NA,NA,NA,45893,27026,86667,31818,70469,69821
"2809",11010,37214,9385,55927,32423,63143,40437,70337,45740,92042,59000
"2810",11020,19489,17074,53365,37695,46875,31836,52857,40682,114342,83594
"2811",11021,31750,20000,36904,24327,54750,28375,96734,51136,109187,82153
"2812",11023,44063,18611,52604,27614,61750,17600,60125,51333,120724,54938
"2813",11024,22361,21836,37404,23370,75595,27120,90391,32431,111058,80938
"2814",11030,56000,26528,46406,26601,96750,38864,154732,45417,187695,62091
"2815",11040,40652,13836,44121,25430,60206,41384,81141,56032,90929,70250
"2816",11042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2817",11050,24947,9922,40155,33981,53672,28824,91711,41521,154286,72935
"2818",11096,22061,16056,26509,18640,44450,37896,44464,67070,54464,41500
"2819",11101,24963,16182,31675,17049,45648,29432,57807,49115,97784,58826
"2820",11102,25664,14100,26444,21810,39614,28235,47083,45611,66540,59438
"2821",11103,30107,19044,28750,21292,37862,31361,52543,43225,56652,50694
"2822",11104,22326,16389,32188,25685,31145,28750,53550,49476,64625,49298
"2823",11105,22875,17474,33443,31493,41944,31187,53510,48467,52351,53051
"2824",11106,22263,15000,34429,20878,39083,29621,49423,41969,64736,56112
"2825",11109,NA,NA,100433,NA,74219,57803,101042,69596,106838,78684
"2826",11201,19929,15615,32435,26298,47332,32690,77240,63369,106621,74227
"2827",11203,26250,21351,31010,26013,39969,35392,44675,47727,67933,62074
"2828",11204,19191,14780,26962,21036,38883,31542,47692,46172,64649,51563
"2829",11205,21160,14151,31723,20140,36597,30714,55374,46234,68333,58117
"2830",11206,18608,17439,24158,20854,33125,29565,38242,41360,37134,44205
"2831",11207,23502,15724,31083,24462,38141,32083,37669,46250,61292,53891
"2832",11208,22465,16870,31348,26514,35833,31362,56055,41279,54583,52292
"2833",11209,22400,13188,39347,27035,49234,42824,63704,51684,82414,67289
"2834",11210,26235,22679,32307,27552,38867,32155,53963,47428,80527,53672
"2835",11211,21326,15824,27983,15942,34311,33799,59766,50558,71453,52989
"2836",11212,19944,16995,31736,25120,37396,33071,40556,50734,53333,57372
"2837",11213,22385,18114,33073,25593,43862,31678,49889,40386,61858,61131
"2838",11214,23957,17015,33527,25150,45125,31391,54793,45212,61413,63427
"2839",11215,26815,16632,37298,38479,51577,39939,69200,52440,92748,69423
"2840",11216,26963,18422,29839,26361,36636,36796,46585,45036,60819,58304
"2841",11217,25274,21791,30658,25181,36786,27292,71987,52364,93482,65113
"2842",11218,20233,14252,31285,17493,40199,22069,43958,45965,62977,63435
"2843",11219,19215,14580,25179,17171,30148,21083,41981,39543,54534,53043
"2844",11220,17060,12883,22547,19463,32100,30287,42654,42247,59673,54713
"2845",11221,22963,18091,31275,25805,38368,34491,41958,43577,61129,58902
"2846",11222,30398,18804,38728,27564,47003,33038,53174,50893,62875,53750
"2847",11223,20485,15860,38887,21923,43349,27606,45411,42167,62083,52542
"2848",11224,23431,18309,34643,23543,32331,35022,65128,40911,54566,44643
"2849",11225,25257,20763,32903,20801,35052,33595,47893,44414,59464,60774
"2850",11226,24604,17054,27401,25730,36763,30000,49880,45168,61875,55895
"2851",11228,22433,20028,40563,25695,51071,33703,59734,58645,90124,70000
"2852",11229,25015,16486,37380,26567,48838,32670,54894,45909,70590,60233
"2853",11230,20681,12409,31791,20587,38125,25730,47520,32233,65956,50036
"2854",11231,19414,16913,44375,26913,46884,29173,69117,54590,88278,64278
"2855",11232,19379,12602,26514,20714,27582,30164,37529,34327,41447,49556
"2856",11233,24099,16744,31120,29539,37250,34724,55878,48914,68028,69067
"2857",11234,24042,19464,35822,27326,48931,37174,62240,54431,75458,72953
"2858",11235,18890,13991,31099,24906,36811,30003,60408,51195,75208,62338
"2859",11236,24738,24406,35369,29135,41010,37700,52842,52678,61298,66737
"2860",11237,21805,15958,27165,24299,38047,26904,39670,43056,43792,51745
"2861",11238,17763,20601,30514,26700,43758,39033,57585,50304,67653,58079
"2862",11239,19485,31316,25982,23790,46020,46274,22127,22330,NA,61862
"2863",11351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2864",11354,24623,16052,29607,20277,33849,36442,51689,41529,63673,59157
"2865",11355,18458,14860,25365,20475,37596,29510,41474,48292,60625,51395
"2866",11356,25230,17270,36310,25168,41266,36189,42228,46864,39375,73182
"2867",11357,30800,27697,33490,25905,56222,36161,65833,58036,83247,70325
"2868",11358,27386,13930,31628,22029,45324,30819,52763,50811,85823,66051
"2869",11359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2870",11360,53611,11250,50647,27455,59940,46412,75099,50656,98214,71500
"2871",11361,30194,33670,40938,23438,45250,30040,53980,51734,84082,64864
"2872",11362,31964,21080,40466,31685,42201,35833,65769,56316,66906,67250
"2873",11363,23125,NA,37381,22050,59511,42344,55473,52474,94018,95353
"2874",11364,30530,15977,35146,22500,46225,32176,57879,48125,81000,75338
"2875",11365,25111,14127,24984,13968,46913,29558,51461,44423,66890,71466
"2876",11366,22292,16767,37617,19375,55444,47830,51542,44631,73281,53324
"2877",11367,22172,13427,37948,28673,42527,33789,54120,46201,70513,63661
"2878",11368,20927,14517,24667,17718,32635,26414,43676,34008,40732,53750
"2879",11369,21559,17642,27322,21751,38086,31632,43878,38875,57778,48702
"2880",11370,20063,20260,30007,21375,28554,34136,44643,50278,69861,72863
"2881",11371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2882",11372,22035,15389,27714,20692,38402,26627,49041,43292,70261,52375
"2883",11373,22209,16969,30004,20247,35637,28121,38711,40052,54922,52973
"2884",11374,30833,12231,38958,27071,42500,34541,58199,43496,77601,64679
"2885",11375,34397,21714,41804,27463,45451,42894,72799,57355,87449,64838
"2886",11377,23997,16435,31970,24453,38026,31669,50000,42609,64464,51250
"2887",11378,30204,12119,41524,32566,47308,39583,50319,46923,71695,66067
"2888",11379,40345,15735,42912,39421,51922,35234,56081,59237,75094,69840
"2889",11385,26050,16799,36528,25899,42509,32494,54593,46154,63482,57886
"2890",11411,33750,29643,40216,35032,51847,42025,59773,54956,47468,71108
"2891",11412,26771,23827,34366,33835,39946,37190,51397,54875,65028,62981
"2892",11413,29299,27808,37051,30210,42868,39766,57440,51445,74825,68284
"2893",11414,33333,14987,48586,31292,57429,44643,62388,46673,77105,61625
"2894",11415,19716,12321,35133,26108,41571,42880,62944,54963,75919,60659
"2895",11416,27483,17500,35507,21438,41284,31520,47903,40588,55893,64743
"2896",11417,31509,17443,36190,33318,43245,34237,47930,45000,75357,55698
"2897",11418,23806,16364,41042,23255,43063,34940,51771,42489,73750,50495
"2898",11419,25174,17207,30417,21473,39821,33327,46790,35651,34939,53438
"2899",11420,25842,17531,33792,26311,36659,31966,52139,45682,55625,49531
"2900",11421,23191,17009,34059,26228,44577,32303,53664,50438,46333,64405
"2901",11422,38136,31196,36902,31729,50529,41208,57946,51832,68661,59983
"2902",11423,23640,18582,31433,26230,41912,37280,48831,47188,77634,75852
"2903",11424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2904",11425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2905",11426,26974,7157,41845,34280,49323,44000,55179,48063,67396,64205
"2906",11427,22917,17357,36646,30657,43027,38836,51867,47664,77337,60526
"2907",11428,26219,20969,33955,24709,42094,37996,54231,40652,70227,61467
"2908",11429,23854,19263,30027,31698,44565,32342,47717,54342,62750,63511
"2909",11430,NA,NA,12083,NA,NA,NA,NA,NA,NA,NA
"2910",11432,23692,14905,28738,19985,37383,31585,43725,42987,53638,53599
"2911",11433,25409,17414,33068,30359,40900,34180,40893,41606,58065,60402
"2912",11434,26058,25262,33425,29091,42465,40353,50894,44559,52208,62283
"2913",11435,21923,14778,30575,22056,39483,35528,46346,49712,57711,53750
"2914",11436,27301,18346,35875,28583,43611,33859,53529,44112,71563,71071
"2915",11451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2916",11501,32672,25461,52525,20481,40500,32799,68250,51886,103399,73705
"2917",11507,54500,7238,56806,20833,57439,40294,76563,40556,126875,80677
"2918",11509,6429,NA,102500,14531,61058,31250,66310,66607,105089,72125
"2919",11510,26500,10156,46404,26970,58994,43806,67791,62039,85709,69045
"2920",11514,35114,24375,55531,33243,76490,42143,68917,54145,79250,66607
"2921",11516,NA,9082,77599,27333,70833,19715,64773,42500,65882,51429
"2922",11518,20288,20972,46250,30855,61496,35938,80172,57018,107759,78618
"2923",11520,24354,16663,32309,25555,54060,40362,65164,62011,62931,73868
"2924",11530,14932,73586,58203,40924,82978,32697,108220,53640,138036,86575
"2925",11542,22112,17610,33217,24375,50556,35369,51045,42132,105281,62940
"2926",11545,42105,15750,59615,40353,61786,42965,107289,54390,159917,65417
"2927",11547,NA,NA,NA,NA,45417,40938,135375,101071,NA,NA
"2928",11548,NA,NA,86250,21500,67000,31765,28636,26875,107813,48558
"2929",11549,NA,NA,NA,NA,NA,NA,20500,NA,NA,NA
"2930",11550,21333,17121,30073,24647,44014,38683,54211,51860,66250,69801
"2931",11552,20472,13618,48974,30354,68944,41823,75485,50777,97009,76107
"2932",11553,28523,16627,33980,29313,43033,35143,49018,49716,47478,54148
"2933",11554,28239,20674,48833,29018,63722,43846,81389,53824,86674,61667
"2934",11556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2935",11557,46705,4688,47391,25778,65536,38173,62846,50357,122545,50455
"2936",11558,24488,13625,46853,31023,32364,36196,80972,52027,80523,73636
"2937",11559,31786,NA,44500,19421,80702,43413,98607,31838,108667,48839
"2938",11560,17411,15978,48056,21955,53516,25919,100900,42250,111806,62371
"2939",11561,21146,15769,36266,33207,54401,38125,80471,61552,97105,71103
"2940",11563,43878,26838,50977,26944,62143,31761,82132,49409,79639,68693
"2941",11565,NA,27328,48259,38971,58802,30357,77188,77616,91054,89760
"2942",11566,44107,20357,58631,35380,70745,33568,91967,52235,109682,74341
"2943",11568,30313,14091,54375,21111,79250,12981,115536,44803,136250,77000
"2944",11569,NA,NA,NA,NA,104348,67333,196667,38029,54450,83125
"2945",11570,6007,4396,65833,27074,72500,41125,101991,61028,107056,80342
"2946",11572,33304,21615,51603,22468,70475,38220,79337,49714,84646,85105
"2947",11575,21352,19041,27328,32183,34753,31096,53158,50250,98571,61544
"2948",11576,59500,NA,45208,24808,74063,30154,99167,43631,159375,69036
"2949",11577,31615,11169,40017,24375,75660,26786,75043,40994,121125,68158
"2950",11579,16154,NA,63073,17302,31613,32401,77431,48056,85536,53681
"2951",11580,24167,16061,46422,26701,49925,39654,70042,63198,85577,76509
"2952",11581,33854,36759,40461,31857,50139,37800,70605,55404,105682,70451
"2953",11590,32467,16885,39487,25981,49743,31495,78750,45905,91308,61648
"2954",11596,16842,16599,42813,28077,64468,51250,90625,64583,117554,77125
"2955",11598,38750,16523,52083,32436,54360,22021,93828,52984,106188,57045
"2956",11691,21567,17600,31962,23734,44455,32298,57625,44920,57448,62753
"2957",11692,14572,12586,33553,24111,41960,34159,64455,59613,67750,60197
"2958",11693,41106,16373,47014,32159,52845,39188,53525,61648,28021,70032
"2959",11694,23250,15270,52917,33165,57336,30574,51736,50545,80000,72880
"2960",11697,NA,NA,52500,36344,56250,52273,90665,41528,100125,77656
"2961",11701,33274,19779,35429,29360,51667,42947,70288,46096,82150,71333
"2962",11702,20905,4828,41649,25995,68542,46864,77287,43750,101288,69301
"2963",11703,34107,26360,54907,26772,60833,43880,74554,52008,82775,68750
"2964",11704,30229,20975,49364,30152,62824,42103,70685,50260,91957,70147
"2965",11705,NA,NA,55170,29942,72050,34934,100763,52958,105759,76938
"2966",11706,27884,20311,37832,26996,44560,30986,52759,47893,70446,65250
"2967",11709,NA,NA,66779,21667,58683,37639,81932,32321,103583,59531
"2968",11710,43125,14597,51566,32172,64855,41500,78370,54528,96607,62766
"2969",11713,43839,20492,54851,36304,51522,39202,80268,47738,90469,86782
"2970",11714,47614,25000,57841,29762,62274,41659,75370,45259,81250,59936
"2971",11715,NA,NA,59740,30556,64659,40268,98250,50341,99091,78274
"2972",11716,52344,30428,52304,32368,56250,36587,81750,78984,64554,64514
"2973",11717,25008,18077,33293,26832,40824,33634,51408,45185,42183,52341
"2974",11718,NA,NA,46827,19500,74653,30625,82250,50000,105833,97212
"2975",11719,66250,19063,39896,34000,48718,42778,82333,53295,82396,93477
"2976",11720,26818,20375,47674,31704,60748,36065,70956,44953,85598,63214
"2977",11721,50938,NA,15469,10326,62500,23214,115536,30607,139653,51691
"2978",11722,24704,20583,35352,30913,42826,31820,35888,40574,70128,61667
"2979",11724,NA,NA,46250,20000,63616,31964,101131,29271,141473,57212
"2980",11725,45893,40057,56745,29625,61842,30227,86497,55121,112386,79079
"2981",11726,28138,23142,39805,25328,44423,34544,42778,60391,89632,69125
"2982",11727,30270,26439,41692,32388,47246,39694,69060,60423,90924,74420
"2983",11729,38710,22292,51427,31671,59000,36185,74929,52240,93860,73875
"2984",11730,67202,15438,53161,27543,81555,40208,76734,52047,110329,72295
"2985",11731,26000,20625,53196,27773,62313,40350,86206,49125,105056,80530
"2986",11732,76786,11250,68750,58942,71000,36354,114063,52000,96125,64779
"2987",11733,71484,9344,50179,22647,69435,31275,95446,50129,126830,82610
"2988",11735,19013,17500,45793,31250,61474,43636,74464,48484,92451,71910
"2989",11738,32060,38424,50589,33264,57262,26720,79918,40931,84722,57738
"2990",11739,NA,NA,11971,12778,43700,50500,160900,62875,126250,97313
"2991",11740,7115,32692,57813,25134,60536,46375,104554,50083,112727,78878
"2992",11741,33640,25703,53140,35366,60884,41492,82691,45070,86875,75650
"2993",11742,47885,24091,50809,31209,75568,41331,73824,47195,94643,70735
"2994",11743,29286,12436,41888,31590,68211,39591,87676,54876,118182,69236
"2995",11746,22564,18925,41381,31141,55321,30250,99018,45847,107349,80509
"2996",11747,31806,NA,48607,24954,68147,39960,130341,41931,154141,90882
"2997",11749,35057,28393,41842,31888,64306,44954,30260,36500,72708,87396
"2998",11751,47773,14545,52208,28898,59196,36641,81500,53583,95625,65625
"2999",11752,44625,NA,58654,29853,64667,27679,76250,51519,67206,63194
"3000",11753,18750,22054,42202,38681,76715,28977,111693,46607,136250,67865
"3001",11754,43438,13598,53182,24402,63528,36250,76083,60417,102464,64777
"3002",11755,31250,2917,51861,31333,64851,30058,92250,50962,85329,70185
"3003",11756,33346,19739,52736,26429,62863,39813,73415,51701,88750,71283
"3004",11757,41424,19071,51847,30759,59881,36182,75000,49457,86356,51932
"3005",11758,33791,17232,58614,31390,63222,39381,84605,51142,107500,71213
"3006",11762,41354,19688,58039,33831,70198,42459,76875,50991,101951,73385
"3007",11763,33677,16475,48679,31000,59500,41494,80120,50802,85417,70000
"3008",11764,NA,NA,68180,29438,67292,26901,77418,62422,115931,83125
"3009",11765,NA,NA,36250,12917,61250,49250,129583,90893,223750,66875
"3010",11766,31513,NA,52846,33173,71469,35000,104821,60208,105500,79231
"3011",11767,17061,6629,55142,18697,55302,36985,100524,52682,109167,54200
"3012",11768,21667,7000,45403,30607,52232,41346,101349,42692,116034,81017
"3013",11769,53833,16776,60391,15313,61031,40956,82125,49929,103875,100320
"3014",11770,NA,NA,NA,NA,NA,31667,78672,32679,NA,81583
"3015",11771,27237,30259,38164,26583,45500,31894,108409,50208,132500,75208
"3016",11772,26693,15655,42889,27807,51257,37407,80191,51822,90288,70807
"3017",11776,17359,19868,44793,22135,69693,35647,80106,60391,77957,44531
"3018",11777,13173,NA,54519,21696,57981,39234,81027,44125,102917,69643
"3019",11778,42932,16964,47050,31791,66171,45146,84821,53688,85764,82250
"3020",11779,25625,13625,52462,26672,60610,38840,78641,53224,85302,65077
"3021",11780,26250,20694,78438,21734,55625,31768,89948,48456,115855,66765
"3022",11782,38068,NA,59321,27261,71875,37118,101125,44135,103906,89397
"3023",11783,32344,13953,57929,36528,66297,47396,85304,50227,86161,72557
"3024",11784,43583,20223,39901,26813,60356,36081,66844,41414,85565,54631
"3025",11786,3000,NA,79115,31653,88958,39276,90766,29375,99107,81538
"3026",11787,31607,11250,51250,27023,71935,35942,91765,54226,112500,75216
"3027",11788,45972,19333,58750,25449,64650,36274,92045,41935,109531,70581
"3028",11789,59250,NA,67100,17351,66346,30533,68347,47206,81905,70625
"3029",11790,61029,NA,49167,25125,69643,40474,89023,47524,106742,65223
"3030",11791,31000,15076,46875,30417,62199,37756,107309,54245,127614,74242
"3031",11792,65735,NA,54978,25781,64300,47756,115926,37813,99531,75844
"3032",11793,50446,15048,53713,28614,65625,39941,93488,49798,105531,70015
"3033",11794,NA,NA,NA,NA,NA,NA,19250,6250,22188,19861
"3034",11795,43438,20750,51422,30076,66444,44659,78750,49986,109115,87766
"3035",11796,NA,16563,64659,17131,77068,53390,92857,12336,103611,86719
"3036",11797,19900,NA,124500,21466,63594,29342,111406,63929,162532,72969
"3037",11798,31094,20536,36389,29123,55884,40156,65871,46833,57277,64219
"3038",11801,26000,20957,51174,32543,55795,38988,63347,52477,89387,61763
"3039",11803,30761,26471,63750,25496,63586,38405,93520,43681,104310,66356
"3040",11804,NA,NA,45893,26964,52727,35313,106050,60278,105061,67788
"3041",11901,23545,17604,26136,20793,41824,29788,41375,37266,84931,66840
"3042",11930,35750,NA,19861,32813,50625,21000,78393,39375,113750,27083
"3043",11931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3044",11932,NA,NA,51042,22019,38750,3125,60125,11442,66250,90972
"3045",11933,102708,NA,36544,32819,77794,16971,76898,51452,94107,52969
"3046",11934,24779,13250,39945,31544,67321,22596,85625,42135,102328,76920
"3047",11935,21985,NA,47218,35337,67813,47639,64453,27258,171111,77283
"3048",11937,27714,15741,40084,20187,42040,29844,52342,37435,81071,65417
"3049",11939,NA,NA,18636,32143,47583,26875,82083,25833,42679,100208
"3050",11940,63417,9922,61480,30625,57279,27098,81333,74231,125615,87936
"3051",11941,NA,NA,16894,31875,90385,50817,100625,53750,187500,71250
"3052",11942,25776,NA,57639,26680,64125,40257,48667,37250,119219,101587
"3053",11944,22071,17813,25330,22415,53750,42258,90909,40341,75682,50486
"3054",11946,22131,16357,51292,27500,39405,34675,66655,34917,52750,68516
"3055",11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3056",11948,NA,NA,4688,21229,61397,NA,NA,85227,NA,68571
"3057",11949,45000,13125,70086,25625,84291,42435,98203,87621,96161,100366
"3058",11950,22418,26429,41621,30300,59683,27619,74554,50568,84031,80000
"3059",11951,30909,11854,48561,28975,63233,43702,64063,37813,55734,62269
"3060",11952,NA,NA,58088,29390,60000,30688,48800,51277,75761,117639
"3061",11953,43750,10833,51513,22019,48910,41568,64100,47059,74679,76000
"3062",11954,16875,NA,32500,14355,53841,33068,80667,68017,111667,31983
"3063",11955,NA,NA,34107,31017,55000,54913,31929,33235,98894,74114
"3064",11956,21250,NA,NA,38750,56250,40278,123281,19545,43438,52917
"3065",11957,9135,NA,22500,28750,82750,36875,92083,44063,37500,96875
"3066",11958,NA,NA,NA,NA,NA,NA,NA,NA,NA,61042
"3067",11959,NA,NA,64167,26250,95568,25694,74750,44167,188750,14875
"3068",11960,NA,NA,26375,32250,100208,22250,91534,51827,101750,63646
"3069",11961,23631,4297,47976,21212,65375,35742,63636,57155,89000,87109
"3070",11962,NA,NA,NA,24375,NA,46250,103333,26818,76250,46250
"3071",11963,10395,21375,25741,25179,40990,27000,71393,41477,95927,54866
"3072",11964,NA,NA,47083,NA,41250,17500,27077,48555,150250,77361
"3073",11965,NA,NA,NA,NA,41944,NA,66324,NA,NA,41731
"3074",11967,40216,31813,44273,30357,55957,37247,62050,53719,83333,51563
"3075",11968,40556,41201,27336,21454,50938,35989,63387,34839,152344,63750
"3076",11970,NA,NA,NA,NA,NA,17034,NA,49592,NA,82955
"3077",11971,NA,NA,48180,31369,67813,44321,95958,48203,108125,11513
"3078",11972,NA,NA,32426,20096,94792,76354,141800,54750,NA,NA
"3079",11973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3080",11975,NA,NA,NA,12344,22167,NA,74545,13750,124375,NA
"3081",11976,83162,NA,80893,31842,81750,61429,45324,47750,121488,65167
"3082",11977,NA,NA,26447,34688,66731,45764,63523,43587,128125,39917
"3083",11978,9013,6364,34773,26058,48784,36204,81250,43920,81898,80441
"3084",11980,18900,NA,47083,34052,54013,43125,51518,51551,95455,62188
"3085",12007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3086",12008,NA,NA,NA,NA,39338,6797,100208,NA,NA,89028
"3087",12009,11528,NA,44375,24591,54450,36551,64205,44667,90662,53462
"3088",12010,25106,9312,34453,22829,38577,30368,55417,41306,67500,53149
"3089",12015,10556,NA,49688,25208,50547,17000,93384,60179,66290,51354
"3090",12017,NA,NA,36000,34750,NA,16875,37500,NA,NA,81667
"3091",12018,45662,8967,41708,21848,58115,41647,60972,50598,77500,76422
"3092",12019,37961,27993,49565,31767,47372,38873,73818,48994,87333,59375
"3093",12020,23261,25625,40990,25915,47970,30319,70712,45745,65962,62645
"3094",12022,56250,NA,41667,30417,60156,23807,27500,30156,24583,82250
"3095",12023,12500,15750,43824,25469,43167,23953,26111,30096,62941,54250
"3096",12024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3097",12025,41023,11250,39551,25732,31119,22414,42297,80071,64375,68500
"3098",12027,22361,NA,51125,34643,63988,37151,75725,19044,91667,43667
"3099",12028,NA,NA,40313,40729,44063,35197,NA,44226,44500,NA
"3100",12029,60313,10729,25714,30833,56250,34375,42000,40972,93750,24375
"3101",12031,NA,NA,29583,31250,NA,23214,32188,NA,NA,NA
"3102",12032,18250,6500,33750,17083,26154,27000,42083,24688,78750,55139
"3103",12033,36336,16467,32981,25533,45000,36480,76875,36382,80938,60809
"3104",12035,3295,NA,47054,19875,38750,21094,NA,NA,51250,NA
"3105",12036,14500,NA,53750,4375,NA,23864,NA,NA,NA,NA
"3106",12037,27188,30417,41786,16250,46250,30647,53817,36974,80647,44635
"3107",12040,NA,NA,16094,33125,NA,20250,NA,NA,NA,NA
"3108",12041,NA,NA,53214,NA,NA,NA,NA,NA,NA,NA
"3109",12042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3110",12043,24300,26250,28710,13774,31750,31563,60580,41477,72417,47625
"3111",12045,NA,NA,8611,31250,NA,NA,NA,NA,NA,NA
"3112",12046,NA,NA,34205,19211,86250,30125,13750,NA,65682,27039
"3113",12047,14557,20272,29097,27457,43074,35904,53494,50254,101250,51184
"3114",12051,36339,NA,26886,26250,50313,26000,78542,60528,93958,60156
"3115",12052,43125,NA,36765,20250,54219,39779,90000,40417,68906,56875
"3116",12053,37431,8125,50550,22669,58409,43287,52571,32639,96813,63778
"3117",12054,24125,17000,39320,27206,44598,41560,83808,58320,86681,54972
"3118",12056,44111,NA,56842,22708,47311,50921,54878,31250,100104,43542
"3119",12057,NA,NA,33707,25398,37153,16330,45139,50938,NA,57396
"3120",12058,30179,NA,39125,26250,59024,11417,40729,NA,NA,72969
"3121",12059,NA,NA,44659,30962,54625,43516,88393,43854,NA,92604
"3122",12060,NA,NA,50357,26250,38750,25347,87292,19688,168319,53438
"3123",12061,51250,15368,45455,20170,52676,45266,91402,49919,79268,56023
"3124",12062,31250,NA,43625,28750,41250,35227,66711,36058,61250,69063
"3125",12063,NA,NA,NA,NA,55217,NA,104667,90643,NA,NA
"3126",12064,NA,NA,10000,NA,75192,35833,NA,NA,NA,36000
"3127",12065,25268,12620,40774,24861,49034,37453,75028,42225,102031,52929
"3128",12066,NA,NA,39808,26953,40795,39091,25750,34250,83750,80938
"3129",12067,NA,NA,40724,29750,31719,31389,60556,46818,118750,NA
"3130",12068,23512,NA,23929,17344,45417,32478,54063,42800,NA,51806
"3131",12069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3132",12070,18500,17083,43594,28250,56700,22463,49375,34028,36250,52159
"3133",12071,NA,NA,86563,17500,NA,53333,31500,NA,NA,NA
"3134",12072,21250,20313,36713,20326,37500,27500,33750,30625,140357,62875
"3135",12074,15938,15156,40259,31458,48594,25597,75125,42206,91696,78125
"3136",12075,9671,NA,32117,28091,53776,31615,71250,52500,101765,52500
"3137",12076,36250,23333,41667,23611,34318,37969,23438,20250,72917,43125
"3138",12077,NA,NA,27473,16050,52869,21964,54722,41250,96678,55800
"3139",12078,25136,11411,35270,21063,36392,27156,53665,38884,50081,47574
"3140",12083,NA,NA,45745,11646,39063,26226,65417,50625,31250,72875
"3141",12084,NA,NA,7338,34891,63427,51316,49769,32241,74609,63641
"3142",12085,NA,NA,NA,25048,38646,44132,NA,NA,NA,NA
"3143",12086,40156,NA,31932,25972,44205,30781,76500,43833,NA,41250
"3144",12087,NA,NA,45000,38854,18500,40905,46719,NA,NA,NA
"3145",12089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3146",12090,21625,NA,31979,21806,38409,35548,30078,39688,63417,61000
"3147",12092,NA,NA,29565,23274,NA,61111,95385,63750,NA,NA
"3148",12093,29583,16442,36103,24167,35500,21359,44226,12750,63250,45313
"3149",12094,4554,NA,49886,17250,53300,45685,53882,73508,NA,NA
"3150",12095,32630,18105,32490,17294,36895,31117,60000,29954,37917,60833
"3151",12106,30774,NA,38304,19400,42500,23917,83977,52708,90000,61136
"3152",12108,NA,15972,30938,4239,41667,27917,NA,NA,88750,82083
"3153",12110,30924,11683,40786,20333,49615,40125,75594,54547,85192,63433
"3154",12115,NA,NA,NA,NA,NA,NA,NA,NA,106250,NA
"3155",12116,10357,NA,22906,25741,33750,27986,42273,26827,NA,55179
"3156",12117,40521,18871,43933,22045,30089,26364,42019,27083,41250,60750
"3157",12118,23220,13750,41543,25457,45197,33026,80307,40647,71957,50233
