"","Id2","M_MedianEarnings_LessThanHighSchoolGraduate","F_MedianEarnings_LessThanHighSchoolGraduate","M_MedianEarnings_HighSchoolGraduate","F_MedianEarnings_HighSchoolGraduate","M_MedianEarnings_SomeCollegeOrAssociate'sDegree","F_MedianEarnings_SomeCollegeOrAssociate'sDegree","M_MedianEarnings_Bachelor'sDegree","F_MedianEarnings_Bachelor'sDegree","M_MedianEarnings_GraduateOrProfessionalDegree","F_MedianEarnings_GraduateOrProfessionalDegree"
"85",783,14914,9803,16471,11692,18891,16143,23910,22438,31206,32179
"86",784,9933,6661,14344,12725,18099,15684,26837,21143,37614,31250
"87",786,NA,NA,31071,NA,NA,NA,NA,NA,NA,NA
"88",791,9934,9844,16180,15740,17022,17292,31016,27064,56845,35191
"89",794,12917,7250,15709,13469,16279,14087,28300,26377,25216,22339
"90",795,10750,9693,14996,13531,19560,15477,26909,20625,33920,30170
"91",901,10907,16008,8519,10500,17656,13475,22236,23542,70208,78214
"92",906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",907,17471,11086,19083,13875,21563,18173,39828,25201,64909,41149
"94",909,12407,12401,12888,14110,14322,11729,18750,28261,58194,43359
"95",911,15481,12802,19293,13000,22734,19821,32234,28611,56806,41250
"96",912,11654,6926,14521,10074,14038,17829,25962,26552,35875,47083
"97",913,12534,15694,22831,12091,18348,9583,53594,21058,65185,39583
"98",915,12000,10328,15298,14488,15625,15785,23125,23516,27969,13050
"99",917,13908,9905,13438,12670,16663,16030,29500,27096,56458,29615
"100",918,11136,5430,13607,14348,18969,23321,30952,26005,40755,42292
"101",920,13646,10167,16807,14670,20114,17988,28574,22161,31667,34107
"102",921,14854,10365,17073,14077,19060,17456,27665,26728,39375,36921
"103",923,10455,10498,15958,11351,18950,19074,22697,25476,40000,24617
"104",924,10809,8942,13142,12098,20460,16074,27718,24361,32386,33388
"105",925,11146,9909,13125,8942,9807,17417,19417,17121,36591,34688
"106",926,13890,10719,15507,14140,23157,17866,36752,29462,64225,40133
"107",927,7885,10250,14859,15109,22639,21726,34048,25762,55500,41914
"108",934,NA,NA,NA,NA,19539,NA,NA,NA,56711,NA
"109",936,9063,NA,17569,70283,NA,19141,NA,24583,NA,NA
"110",949,13263,11154,16828,15274,21033,17728,31294,25116,36985,31764
"111",950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",952,7211,13056,13870,14366,19844,19024,18021,21081,NA,18958
"114",953,12669,10934,15970,14033,26145,18247,40791,26115,68125,36122
"115",956,13262,9648,15714,13379,17693,16693,28579,23197,40000,31988
"116",957,12399,11475,16676,13248,18524,15906,31183,24931,32269,31115
"117",959,13571,7832,18428,13797,21230,15879,32831,25690,43707,37030
"118",960,6378,NA,7328,NA,17218,NA,16719,NA,NA,NA
"119",961,7284,11208,16241,16012,20970,16245,37556,27374,45271,37340
"120",962,11918,10203,16425,12674,20531,16605,23906,22816,74844,22578
"121",965,12908,13511,15180,12885,19741,15877,15909,17035,16354,29306
"122",966,10521,10046,16100,15104,22130,21111,42292,33321,74732,46726
"123",968,NA,NA,19635,NA,31094,21923,46103,30741,59728,45313
"124",969,11390,10060,16236,13466,26963,22378,42833,32144,64904,45048
"125",971,9685,7765,15343,15208,17161,18708,37500,25703,62000,40052
"126",976,11195,11156,14495,14489,23443,19727,34249,27339,58995,38333
"127",979,16549,13693,23824,14917,23162,18731,45160,28904,65905,44235
"128",982,11300,10214,17137,13438,21776,19274,31639,21357,32431,29526
"129",983,14067,7409,15964,14205,18226,16635,30902,26119,26932,30588
"130",985,13811,12982,15847,14230,20313,17556,24878,25871,33068,32618
"131",987,13633,12120,16258,15082,21697,17940,34458,25729,46071,33879
"132",1001,26103,11875,39595,26761,50597,30760,55167,49132,72039,63920
"133",1002,31534,22996,35250,26556,30000,26974,70521,27066,65590,51522
"134",1003,NA,NA,NA,NA,30833,NA,NA,30875,7813,NA
"135",1005,23167,NA,43056,31125,58277,36250,85195,49118,80938,51818
"136",1007,69732,18529,50367,22708,46766,24954,70352,36176,76667,50750
"137",1008,NA,NA,52625,21875,63309,23889,48125,35536,112917,46875
"138",1009,19815,NA,NA,11375,NA,48875,NA,NA,NA,NA
"139",1010,50909,NA,61042,28333,47361,31477,62757,13846,51125,21563
"140",1011,25000,6875,41250,27031,55417,27014,55341,35000,56250,76250
"141",1012,NA,NA,32500,12917,31563,32500,43194,26250,85833,57917
"142",1013,26133,30455,32433,22834,41490,30625,48533,39423,39016,48482
"143",1020,32446,11125,45891,25837,42594,28901,62460,45479,43571,57794
"144",1022,81838,NA,56571,40841,42422,45938,70313,41969,NA,60804
"145",1026,35938,NA,36319,13917,41667,27000,21667,30625,85326,37813
"146",1027,42083,7762,38160,27825,42557,29167,51227,41530,48919,53375
"147",1028,8462,17604,48071,26284,50532,27390,78013,45333,102206,64773
"148",1029,NA,NA,31458,34750,81375,26932,NA,20875,7813,NA
"149",1030,31406,15885,44211,32143,51641,32460,85705,53813,76639,63636
"150",1031,26400,NA,52500,20556,25000,22366,24464,43929,NA,109125
"151",1032,NA,NA,38750,28125,58750,40726,39286,48438,60156,39712
"152",1033,13125,39375,54167,30625,49519,35917,43750,40682,78375,52560
"153",1034,31875,39063,40875,24000,51806,36111,85938,43229,85833,41875
"154",1035,NA,NA,41731,27460,43990,28250,43646,38214,51310,54432
"155",1036,30625,21944,42898,25909,58750,26786,78646,40208,66500,52102
"156",1037,NA,NA,52857,15208,76563,38594,22143,55833,79412,34539
"157",1038,30463,NA,45642,22206,57143,31618,50179,53008,67386,58214
