"zip"|"name"|"employment"|"annual_payroll"|"lat"|"long"|"dma_code"|"dma_name"
"58"|1108|"SPRINGFIELD, MA"|2552|67920|42.086032|-72.55807|543|"Springfield-Holyoke, MA"
"59"|1109|"SPRINGFIELD, MA"|9445|289523|42.115477|-72.552421|543|"Springfield-Holyoke, MA"
"60"|1118|"SPRINGFIELD, MA"|1519|49985|42.093066|-72.526553|543|"Springfield-Holyoke, MA"
"61"|1119|"SPRINGFIELD, MA"|3819|93498|42.125577|-72.51245|543|"Springfield-Holyoke, MA"
"62"|1128|"SPRINGFIELD, MA"|822|16785|42.095814|-72.488231|543|"Springfield-Holyoke, MA"
"63"|1129|"SPRINGFIELD, MA"|2769|66463|42.123706|-72.487431|543|"Springfield-Holyoke, MA"
"64"|1151|"INDIAN ORCHARD, MA"|1772|106101|42.153364|-72.503884|543|"Springfield-Holyoke, MA"
"65"|1201|"PITTSFIELD, MA"|22465|1052122|42.453083|-73.248386|532|"Albany et al, NY"
"66"|1220|"ADAMS, MA"|1588|55890|42.623221|-73.117269|532|"Albany et al, NY"
"67"|1222|"ASHLEY FALLS, MA"|36|1459|42.058803|-73.317442|532|"Albany et al, NY"
"68"|1223|"BECKET, MA"|280|12565|42.30321|-73.085747|532|"Albany et al, NY"
"69"|1224|"BERKSHIRE, MA"|24|789|42.50277|-73.199647|532|"Albany et al, NY"
"70"|1225|"CHESHIRE, MA"|352|14363|42.56184|-73.154541|532|"Albany et al, NY"
"71"|1226|"DALTON, MA"|1440|71553|42.472831|-73.161757|532|"Albany et al, NY"
"72"|1230|"GREAT BARRINGTON, MA"|4997|170289|42.192489|-73.357429|532|"Albany et al, NY"
"73"|1235|"HINSDALE, MA"|0|7142|42.430455|-73.089403|532|"Albany et al, NY"
"74"|1236|"HOUSATONIC, MA"|0|13799|42.256936|-73.372466|532|"Albany et al, NY"
"75"|1237|"LANESBORO, MA"|1940|36625|42.532121|-73.232375|532|"Albany et al, NY"
"76"|1238|"LEE, MA"|3202|95856|42.302565|-73.244821|532|"Albany et al, NY"
"77"|1240|"LENOX, MA"|3421|104860|42.36423|-73.271048|532|"Albany et al, NY"
"78"|1243|"MIDDLEFIELD, MA"|29|633|42.360561|-73.000632|543|"Springfield-Holyoke, MA"
"79"|1245|"MONTEREY, MA"|0|0|42.184076|-73.20349|532|"Albany et al, NY"
"80"|1247|"NORTH ADAMS, MA"|4420|151196|42.698644|-73.108896|532|"Albany et al, NY"
"81"|1253|"OTIS, MA"|0|3014|42.191424|-73.081227|532|"Albany et al, NY"
"82"|1254|"RICHMOND, MA"|0|2182|42.373635|-73.360975|532|"Albany et al, NY"
"83"|1255|"SANDISFIELD, MA"|0|3993|42.109987|-73.123522|532|"Albany et al, NY"
"84"|1256|"SAVOY, MA"|16|571|42.574548|-73.018154|532|"Albany et al, NY"
"85"|1257|"SHEFFIELD, MA"|983|44023|42.100662|-73.357524|532|"Albany et al, NY"
"86"|1258|"SOUTH EGREMONT, MA"|409|6363|42.123535|-73.444048|532|"Albany et al, NY"
"87"|1259|"SOUTHFIELD, MA"|0|2784|42.078469|-73.261571|532|"Albany et al, NY"
"88"|1262|"STOCKBRIDGE, MA"|1409|50048|42.286685|-73.317593|532|"Albany et al, NY"
"89"|1266|"WEST STOCKBRIDGE, MA"|129|5148|42.316606|-73.376279|532|"Albany et al, NY"
"90"|1267|"WILLIAMSTOWN, MA"|3371|161280|42.701733|-73.209281|532|"Albany et al, NY"
"91"|1270|"WINDSOR, MA"|16|874|42.50731|-73.053439|532|"Albany et al, NY"
"92"|1301|"GREENFIELD, MA"|7854|271182|42.601279|-72.601365|543|"Springfield-Holyoke, MA"
"93"|1330|"ASHFIELD, MA"|141|4381|42.521978|-72.811871|543|"Springfield-Holyoke, MA"
"94"|1331|"ATHOL, MA"|3110|107798|42.584221|-72.216185|506|"Boston et al, MA-NH"
"95"|1337|"BERNARDSTON, MA"|399|12788|42.684982|-72.563764|543|"Springfield-Holyoke, MA"
"96"|1338|"BUCKLAND, MA"|130|2179|42.580029|-72.799823|543|"Springfield-Holyoke, MA"
"97"|1339|"CHARLEMONT, MA"|259|4681|42.627574|-72.87294|543|"Springfield-Holyoke, MA"
"98"|1340|"COLRAIN, MA"|99|3616|42.679425|-72.720333|543|"Springfield-Holyoke, MA"
"99"|1341|"CONWAY, MA"|112|3682|42.514491|-72.699183|543|"Springfield-Holyoke, MA"
"100"|1342|"DEERFIELD, MA"|837|32477|42.541921|-72.603623|543|"Springfield-Holyoke, MA"
"101"|1343|"DRURY, MA"|0|0|42.654179|-72.99916|532|"Albany et al, NY"
"102"|1344|"ERVING, MA"|217|9515|42.595603|-72.45365|543|"Springfield-Holyoke, MA"
"103"|1346|"HEATH, MA"|7|231|42.663577|-72.830514|543|"Springfield-Holyoke, MA"
"104"|1349|"MILLERS FALLS, MA"|24|360|42.571294|-72.497251|543|"Springfield-Holyoke, MA"
"105"|1350|"MONROE BRIDGE, MA"|0|0|42.723296|-72.95708|543|"Springfield-Holyoke, MA"
"106"|1351|"MONTAGUE, MA"|115|3117|42.542227|-72.53151|543|"Springfield-Holyoke, MA"
"107"|1354|"GILL, MA"|250|6036|42.633444|-72.517858|543|"Springfield-Holyoke, MA"
"108"|1355|"NEW SALEM, MA"|0|0|42.509442|-72.332266|543|"Springfield-Holyoke, MA"
