"","WhiteAlone","BlackOrAfricanAmericanAlone","AmericanIndianAndAlaskaNativeAlone","AsianAlone","NativeHawaiianAndOtherPacificIslanderAlone","SomeOtherRaceAlone","TwoOrMoreRaces","Id2"
"7037",52.04,47.96,0,0,0,0,0,23032
"7038",87.75,10.09,0,0,0,0.79,1.37,23035
"7039",66.32,29.58,0.63,0,0,0,3.48,23038
"7040",74.86,18.9,0,0,0,0.19,6.05,23039
"7041",68.09,30.8,1.11,0,0,0,0,23040
"7042",95.67,3.54,0,0,0,0,0.79,23043
"7043",100,0,0,0,0,0,0,23045
"7044",73.2,26.74,0,0,0,0.06,0,23047
"7045",90.03,2.85,0,0,0,0,7.12,23050
"7046",49.15,45.3,0,0,0,0,5.56,23055
"7047",94.72,5.28,0,0,0,0,0,23056
"7048",75.16,9.2,0.19,13.43,0.07,0.33,1.62,23059
"7049",64.68,19.38,0.59,11.81,0.06,0.73,2.75,23060
"7050",84.66,11.59,0.15,0.89,0,0.17,2.54,23061
"7051",95.51,0.04,3.35,0.53,0,0,0.57,23062
"7052",63.72,35.34,0.2,0.12,0,0.02,0.6,23063
"7053",100,0,0,0,0,0,0,23064
"7054",77.47,16.01,0,6.53,0,0,0,23065
"7055",100,0,0,0,0,0,0,23066
"7056",100,0,0,0,0,0,0,23068
"7057",59.03,36.11,0,0.77,0,1.38,2.7,23069
"7058",96.74,0,3.26,0,0,0,0,23070
"7059",90.05,8.75,0,0,0,0.94,0.25,23071
"7060",89.93,8.01,0.25,0.08,0,0.18,1.55,23072
"7061",39.62,57.25,0.87,0.43,0,1.04,0.79,23075
"7062",81,18.15,0,0,0,0.85,0,23076
"7063",84.81,15.19,0,0,0,0,0,23079
"7064",67.6,31.97,0,0,0,0.43,0,23083
"7065",81.96,16.38,0,0,0,0.07,1.59,23084
"7066",67.22,32.78,0,0,0,0,0,23085
"7067",62.7,30.83,3.44,0.67,0,0.33,2.03,23086
"7068",91.82,6.52,0,0.24,0,0,1.42,23089
"7069",60.49,39.51,0,0,0,0,0,23091
"7070",52.22,47.78,0,0,0,0,0,23092
"7071",69.55,26.35,0.05,1.02,0,1.88,1.15,23093
"7072",72.59,27.14,0.27,0,0,0,0,23102
"7073",93.36,6.64,0,0,0,0,0,23103
"7074",72.52,25.04,0,0,0,0,2.44,23106
"7075",96.86,3.14,0,0,0,0,0,23108
"7076",83.84,12.38,2.37,0,0,0,1.4,23109
"7077",97.99,2.01,0,0,0,0,0,23110
"7078",87.11,8.44,0.09,1.2,0,1.43,1.73,23111
"7079",77.3,14.77,0.48,4.04,0.05,0.47,2.89,23112
"7080",86.44,6.32,0.21,4.54,0,0.36,2.13,23113
"7081",81.76,10.23,0.18,5.16,0,0.95,1.72,23114
"7082",64.61,0,0,0,0,0,35.39,23115
"7083",89.92,6.86,0.06,1.63,0.06,0.1,1.37,23116
"7084",85.08,10.63,0.88,0,0,0.08,3.32,23117
"7085",100,0,0,0,0,0,0,23119
"7086",80.24,12.55,0.15,4.36,0,0.78,1.94,23120
"7087",72.37,26.51,0,0,0,0,1.11,23123
"7088",88.97,7.71,0.29,0,0,0,3.03,23124
"7089",100,0,0,0,0,0,0,23125
"7090",29.91,70.09,0,0,0,0,0,23126
"7091",95.04,2.37,0,0,0,0,2.6,23128
"7092",95,5,0,0,0,0,0,23129
"7093",94.59,0,0,0,0,0.57,4.84,23130
"7094",90.39,3.9,0,5.71,0,0,0,23138
"7095",89.75,7.26,0.16,0.65,0,0.24,1.95,23139
"7096",60.82,29.28,7.08,1.09,0,0.09,1.65,23140
"7097",84.73,11.31,0.62,0.5,0,1.15,1.69,23141
"7098",93.24,5.73,0,0.19,0,0,0.84,23146
"7099",62.46,34.37,2.44,0,0,0,0.73,23148
"7100",76.43,21.47,0.48,0,0,1.47,0.16,23149
"7101",75.82,21.26,0.65,0.54,0,0.24,1.49,23150
"7102",75.4,24.6,0,0,0,0,0,23153
"7103",76.97,23.03,0,0,0,0,0,23156
"7104",32.82,64.3,0.89,0.26,0,1.25,0.48,23160
"7105",56.45,33.87,9.68,0,0,0,0,23161
"7106",96.43,3.57,0,0,0,0,0,23163
"7107",74,23.45,0,1.3,0,0.53,0.72,23168
"7108",72.08,27.14,0,0,0,0,0.79,23169
"7109",74.51,15.17,0,7.36,0.18,0.97,1.81,23173
"7110",79.68,18.96,0,0,0,0.71,0.65,23175
"7111",91.99,8.01,0,0,0,0,0,23176
"7112",34.82,65.18,0,0,0,0,0,23177
"7113",66.22,32.77,1.01,0,0,0,0,23180
"7114",81.81,14.63,1.03,0.27,0,0.16,2.1,23181
"7115",78.01,14.33,0.4,3.67,0.29,0.46,2.85,23185
"7116",83.23,0,0,0,0,0,16.77,23187
"7117",79.37,14.77,0.22,3.47,0.04,0.98,1.16,23188
"7118",83.36,13.52,1.86,0,0,0.52,0.74,23192
"7119",34.84,53.01,0.43,5.97,0.55,0.3,4.9,23219
"7120",59.11,30.29,0.13,6.24,0.1,0.46,3.67,23220
"7121",84.91,9.96,0.05,1.78,0,0.37,2.92,23221
"7122",11.48,83.56,0.09,1.39,0,0.37,3.11,23222
"7123",15.87,79.85,0.11,1.17,0.01,0.75,2.24,23223
"7124",25.16,64.12,1.08,0.99,0,2.12,6.53,23224
"7125",44.11,48.77,0.37,2.08,0,2.25,2.43,23225
"7126",87.33,5.15,0.17,4.7,0.07,0.59,2,23226
"7127",42.3,50.85,0.1,1.8,0,3,1.95,23227
"7128",66.17,24.5,0.24,3.56,0,1.75,3.78,23228
"7129",82.93,7.92,0.15,4.66,0.05,1.66,2.62,23229
"7130",75.35,13.68,0.04,7.24,0,2.67,1.03,23230
"7131",36.01,59.92,0.53,0.6,0,1.38,1.57,23231
"7132",78.69,4.5,0,12.95,0.11,0.64,3.11,23233
"7133",34.45,50.88,0.34,3.45,0,6.84,4.05,23234
"7134",74.44,17.97,0.05,2.95,0.04,2.3,2.25,23235
"7135",69.11,22.14,0.76,4.98,0.01,1.28,1.73,23236
"7136",70.21,20.97,0.52,2.16,0.43,3,2.71,23237
"7137",82.3,11.51,0.07,3.71,0,0.71,1.69,23238
"7138",NA,NA,NA,NA,NA,NA,NA,23250
"7139",55.85,18.09,1.34,17.45,0,2.09,5.18,23294
"7140",57.6,19.41,0,0,0,18.97,4.02,23301
"7141",100,0,0,0,0,0,0,23302
"7142",86.74,13.26,0,0,0,0,0,23303
"7143",100,0,0,0,0,0,0,23304
"7144",87.67,12.33,0,0,0,0,0,23306
"7145",80.07,19.24,0.69,0,0,0,0,23307
"7146",68.28,28.99,0,0,0,0,2.73,23308
"7147",60.36,39.02,0,0.13,0,0.42,0.07,23310
"7148",100,0,0,0,0,0,0,23313
"7149",73.44,17.19,0.09,1.91,0,2.81,4.56,23314
"7150",92.77,7.16,0,0,0,0,0.07,23315
"7151",21.39,78.61,0,0,0,0,0,23316
"7152",61.56,29.63,0.19,5.33,0,0.27,3.01,23320
"7153",58.92,31.53,0.52,4.3,0,0.98,3.76,23321
"7154",81.27,11.97,0.37,2.95,0.23,0.53,2.68,23322
"7155",56.06,36.67,0.29,1.6,0.02,2.38,2.99,23323
"7156",35.32,60.87,0.06,0.24,0,1.44,2.08,23324
"7157",56.52,38.74,0.46,2.28,0.07,0.42,1.5,23325
"7158",92.35,4.04,0,0,0,0.07,3.54,23336
"7159",83.24,15.08,1.68,0,0,0,0,23337
"7160",77.22,16.71,0,4.99,0,0,1.08,23347
"7161",53.89,44.76,0,0.34,0,0.74,0.26,23350
"7162",100,0,0,0,0,0,0,23354
"7163",100,0,0,0,0,0,0,23356
"7164",83.92,16.08,0,0,0,0,0,23357
"7165",100,0,0,0,0,0,0,23358
"7166",76.54,16.78,0,2.63,0,1.82,2.22,23359
"7167",87.5,12.5,0,0,0,0,0,23389
"7168",0,100,0,0,0,0,0,23395
"7169",100,0,0,0,0,0,0,23398
"7170",90.91,9.09,0,0,0,0,0,23401
"7171",62.93,35.39,0,0,0,1.68,0,23405
"7172",0,100,0,0,0,0,0,23407
"7173",100,0,0,0,0,0,0,23408
"7174",100,0,0,0,0,0,0,23409
"7175",58.79,40.87,0.34,0,0,0,0,23410
"7176",51.76,48.24,0,0,0,0,0,23413
"7177",6.88,93.12,0,0,0,0,0,23414
"7178",61.83,37.64,0,0,0,0,0.53,23415
"7179",90.34,9.66,0,0,0,0,0,23416
"7180",71.3,26.93,0.87,0.11,0,0,0.79,23417
"7181",60.44,30.65,8.91,0,0,0,0,23418
"7182",37.2,60.51,0,0,0,0,2.29,23420
"7183",71.31,23.79,0.18,0,0,3.45,1.28,23421
"7184",50,50,0,0,0,0,0,23422
"7185",95.09,4.91,0,0,0,0,0,23423
"7186",66.23,25.97,0,0,0,0,7.79,23426
"7187",99.08,0,0,0,0,0,0.92,23427
"7188",67.67,30.08,0.1,0.74,0,0.67,0.74,23430
"7189",59.26,32.28,0,0.74,0,0.44,7.28,23432
"7190",92.41,2.45,0,1.87,0,0,3.27,23433
"7191",46.72,48.65,0.06,0.84,0.06,0.3,3.37,23434
"7192",56.5,35.48,0.14,2.59,0,0.69,4.59,23435
"7193",70.68,22.77,0,0,0,1.92,4.62,23436
"7194",63.93,34.14,0.26,0.48,0,0.11,1.08,23437
"7195",78.36,19.27,0.63,0,0,0,1.74,23438
"7196",100,0,0,0,0,0,0,23440
"7197",0,100,0,0,0,0,0,23441
"7198",53.48,46.52,0,0,0,0,0,23442
"7199",83.62,10.8,0.15,2.23,0.04,0.25,2.92,23451
"7200",72.25,17.19,0.34,4.71,0.12,0.96,4.43,23452
"7201",54.93,27.65,0.25,9.86,0.12,1.3,5.89,23453
"7202",79.81,11.76,0.45,3.29,0.02,1.7,2.97,23454
"7203",73.72,15.61,0.34,5.23,0.2,1.08,3.82,23455
"7204",67.71,16.53,0.37,10.32,0.08,0.98,4.01,23456
"7205",91.91,5.21,0.13,0,0,1.58,1.17,23457
"7206",53.3,31.54,0,0,0.73,1.71,12.71,23459
"7207",68.76,16.77,0.48,2.17,0.97,6.76,4.1,23460
"7208",75.6,14.88,0,0,0,4.76,4.76,23461
"7209",54.82,32.32,0.3,5.59,0.26,1.37,5.34,23462
"7210",61.5,21.77,0.27,10.27,0.22,0.97,5,23464
"7211",68.86,31.14,0,0,0,0,0,23480
"7212",95.24,4.76,0,0,0,0,0,23486
"7213",74.26,19.13,0.18,1.45,0,0,4.97,23487
"7214",20.31,79.69,0,0,0,0,0,23488
"7215",37.03,51.97,0.2,4.03,0,2.35,4.42,23502
"7216",65.56,23.49,0.28,3.19,0.84,2.72,3.92,23503
"7217",10.01,86.51,0.35,0.48,0,0.62,2.03,23504
"7218",54.73,33.58,0.65,4.15,0.65,2.57,3.66,23505
"7219",85.89,7.53,0.11,3.58,0,0.1,2.78,23507
"7220",58.73,32.9,0.14,4.33,0.05,0.54,3.3,23508
"7221",40.38,51.07,0.42,2.47,0,1.45,4.21,23509
"7222",47.73,48.11,0.22,1.98,0,0.56,1.39,23510
"7223",67.14,24.02,0.7,4.81,0.26,1.73,1.33,23511
"7224",33.76,55.99,0.32,4.04,0.05,1.59,4.24,23513
"7225",61.37,32.74,0.25,1.96,0,0.98,2.71,23517
"7226",63.7,25.6,0.91,4.32,0,1.36,4.11,23518
"7227",3.05,91.33,0.94,0.46,0,0.81,3.41,23523
"7228",50.52,29.56,3.14,0,0,16.77,0,23551
"7229",61.68,32.85,0.39,1.76,0,0.22,3.1,23601
"7230",57.41,33.07,0.54,3.4,0.36,1.2,4.02,23602
"7231",59.58,30.96,0.08,2.33,0,3.26,3.78,23603
"7232",63.66,17.34,0.43,1.57,1.21,4.41,11.39,23604
"7233",36.98,58.75,0.37,0.5,0,1.25,2.15,23605
"7234",73.7,18.66,0.4,1.9,0.09,1.22,4.02,23606
"7235",12.58,83.08,0.16,0.11,0,1.29,2.78,23607
"7236",44.93,42.43,0.28,5.67,0.26,1.97,4.47,23608
"7237",54.22,27.2,0,14.36,0,0.17,4.05,23651
"7238",31.51,64.41,0.09,0.47,0.07,0.66,2.78,23661
"7239",94.97,0.26,0,3.27,0,0.26,1.24,23662
"7240",37.52,55.4,0.41,2.96,0,1.58,2.12,23663
"7241",72.99,21.25,0,1.47,0,0.37,3.91,23664
"7242",74.93,13.84,0.11,4.88,0,1.2,5.04,23665
"7243",40.39,51.75,0.23,3.28,0.12,1.41,2.82,23666
"7244",44.18,49.8,0.94,1.65,0.01,0.83,2.59,23669
"7245",49.68,44.56,0.11,0.49,0.03,2.84,2.3,23690
"7246",87.77,12.23,0,0,0,0,0,23691
"7247",83.28,9.39,0.46,3.52,0,0.36,2.98,23692
"7248",77.79,9.83,0.12,8.08,0.5,0.21,3.47,23693
"7249",98.31,0.73,0,0.96,0,0,0,23696
"7250",43.34,52.55,0.17,0.48,0,0.42,3.05,23701
"7251",44.58,48.57,0.42,1.95,0,1.9,2.59,23702
"7252",46.96,45.37,0.21,1.79,0.05,1.19,4.43,23703
"7253",20.5,75.1,0.31,0.33,0,1.88,1.87,23704
"7254",52.02,42.94,0.19,1.39,0,0.83,2.63,23707
"7255",61.98,23,0,0,0,0,15.02,23708
"7256",68.75,31.25,0,0,0,0,0,23709
"7257",40.01,48.2,0.84,1.46,1.64,3.55,4.3,23801
"7258",35.11,61.64,0.18,0.61,0,0.9,1.55,23803
"7259",43.01,53.18,0.07,2.03,0.05,0.24,1.42,23805
"7260",3.06,96.94,0,0,0,0,0,23806
"7261",45.2,53.22,0,0,0,0,1.58,23821
"7262",53.48,41.76,0.47,0.36,0,2.38,1.55,23824
"7263",52.02,43.19,0,0.96,0,0,3.83,23827
"7264",36.54,62.98,0,0,0,0.48,0,23828
"7265",56.17,40.73,1.32,0,0,0.12,1.66,23829
"7266",58.86,38.97,0,0,0,0,2.17,23830
"7267",72.79,21.76,0.16,2.1,0,1.71,1.48,23831
"7268",65.37,27.13,0.25,2.63,0,1.51,3.11,23832
"7269",84.77,13.83,0,0.8,0,0,0.6,23833
"7270",73.61,21.09,0.22,2.66,0,0.97,1.45,23834
"7271",75.31,15.71,0,6.34,0,1.34,1.3,23836
"7272",59.49,36.3,0,0,0,0.45,3.75,23837
"7273",85.03,12.17,0.04,1.43,0,0.05,1.27,23838
"7274",43.14,49.32,0,6.67,0,0.49,0.37,23839
"7275",71.66,28.34,0,0,0,0,0,23840
"7276",50.02,46.75,0.33,0.19,0,0,2.7,23841
"7277",73.92,22.83,0.16,0.61,0.48,0.24,1.76,23842
"7278",74.32,25.68,0,0,0,0,0,23843
"7279",29.45,69.08,0,0,0,0,1.47,23844
"7280",100,0,0,0,0,0,0,23845
"7281",70.8,29.2,0,0,0,0,0,23846
"7282",35.43,61.91,0.27,0.65,0,0.83,0.91,23847
"7283",86.54,13.46,0,0,0,0,0,23850
"7284",49.4,48.04,0.12,0.51,0,0.16,1.78,23851
"7285",40.21,59.79,0,0,0,0,0,23856
"7286",100,0,0,0,0,0,0,23857
"7287",54.3,39.54,0.46,0.71,0,2.35,2.64,23860
"7288",80.9,16.35,0,0,0,0,2.74,23866
"7289",37.8,61.75,0,0,0,0.3,0.15,23867
"7290",29.42,69.21,0,0.08,0,0.5,0.79,23868
"7291",68.85,31.06,0,0,0,0,0.09,23872
"7292",52.3,45.4,0,0.77,0,0,1.53,23874
"7293",62.83,27.7,1.51,2.11,0,3.43,2.42,23875
"7294",29.11,64.36,0,0,0,0,6.53,23876
"7295",72.08,26.33,0.8,0,0,0.8,0,23878
"7296",52.96,46.05,0.99,0,0,0,0,23879
"7297",59.47,38.79,0,0,0,1.74,0,23881
"7298",51.71,48.19,0,0,0,0,0.1,23882
"7299",49.3,49.43,0.23,0,0,0,1.04,23883
"7300",68.54,31.46,0,0,0,0,0,23884
"7301",80.62,17.29,0,0,0,0.04,2.05,23885
"7302",81.85,18.15,0,0,0,0,0,23887
"7303",56.88,42.4,0.1,0.05,0,0.15,0.41,23888
"7304",32.48,67.52,0,0,0,0,0,23889
"7305",39.68,58.25,0.19,0.04,0,1.09,0.75,23890
"7306",20.84,70.96,1.15,0.46,0,1.65,4.95,23891
"7307",38.1,61.9,0,0,0,0,0,23893
"7308",96.69,3.31,0,0,0,0,0,23894
"7309",47.11,52.89,0,0,0,0,0,23897
"7310",71.08,27.88,0,0.04,0,0,1,23898
"7311",56.25,38.1,0,3.27,0,0.6,1.79,23899
"7312",62.99,34,0.12,0.73,0,0.78,1.38,23901
"7313",86.55,8.35,0,0.4,0,0.84,3.86,23909
"7314",45.81,53.81,0,0,0,0.38,0,23915
"7315",50.33,45.99,0,0,0.19,1.47,2.02,23917
"7316",84.32,14.15,0,0,0,0.55,0.98,23919
"7317",51.5,47.32,0,0.78,0,0.18,0.23,23920
"7318",71.21,22.57,0,0.32,0,0,5.9,23921
"7319",46.05,51.21,0.33,0,0,0.29,2.12,23922
"7320",66.37,30.18,0,0.54,0,1.71,1.21,23923
"7321",57.01,39.8,0,0.78,0,0,2.42,23924
"7322",70.08,28.82,0,0.07,0,0.44,0.59,23927
"7323",66.75,31.29,0.1,0.07,0,0.75,1.04,23930
"7324",61.33,33.37,5.3,0,0,0,0,23934
"7325",55.19,43.36,0.11,0.14,0.07,0.24,0.89,23936
"7326",57.6,41.97,0.21,0,0,0.09,0.13,23937
"7327",58.17,41.83,0,0,0,0,0,23938
"7328",94.44,4.8,0,0,0,0,0.76,23942
"7329",89.93,2.88,0,1.44,0,3.24,2.52,23943
"7330",55.17,39.83,0,0.45,0,2.61,1.94,23944
"7331",78.7,19.41,0,0,0,0.19,1.7,23947
"7332",51.1,41.24,0,0.18,0,7.21,0.26,23950
"7333",100,0,0,0,0,0,0,23952
"7334",64.82,34.68,0,0,0,0,0.5,23954
"7335",51.7,45.72,0,0.3,0,0,2.28,23958
"7336",82.35,16.84,0,0,0,0,0.81,23959
"7337",65.1,34.9,0,0,0,0,0,23960
"7338",67.54,30.72,0,0,0,0.29,1.45,23962
"7339",88.12,11.88,0,0,0,0,0,23963
"7340",55.31,42.47,2.22,0,0,0,0,23964
"7341",47.88,47.03,0,4.98,0,0,0.11,23966
"7342",88.35,11.65,0,0,0,0,0,23967
"7343",75.13,24.23,0,0,0,0.13,0.52,23968
"7344",53.53,43.24,0.37,0,0,1.83,1.03,23970
"7345",56.44,39.83,0.08,0.31,0.29,0.56,2.49,23974
"7346",53.68,16.91,0,0,0,29.41,0,23976
"7347",91.77,4.76,0,2.6,0,0,0.87,24011
"7348",75.27,17.18,0.3,1.61,0,1.26,4.38,24012
"7349",84.48,10.77,0.35,0.64,0,0.17,3.59,24013
"7350",90.44,5.61,0,1.37,0,0.78,1.8,24014
"7351",83.46,9.16,0.03,3.48,0,0.35,3.52,24015
"7352",49.6,41.89,0.38,2.63,0,1.33,4.16,24016
"7353",31.41,61.92,0.41,1.24,0.55,0.18,4.29,24017
"7354",89,3.51,0.14,4.98,0,0.33,2.04,24018
"7355",87.08,9.04,0.11,1.76,0,0.78,1.24,24019
"7356",64.64,29.82,0,1.85,0,0,3.69,24020
"7357",93.45,5.27,0,0,0,0,1.28,24053
"7358",62.53,25.43,0,0.24,0,7.24,4.57,24054
"7359",85.82,11.55,0.13,0.05,0,1.36,1.09,24055
"7360",100,0,0,0,0,0,0,24058
"7361",100,0,0,0,0,0,0,24059
"7362",82.59,3.83,0.2,9.73,0.03,1.17,2.46,24060
"7363",96.08,0,0.25,3.35,0,0,0.32,24064
"7364",95.27,3.39,0,0,0,0.03,1.3,24065
"7365",94.75,3.3,0.28,0.31,0,0.02,1.34,24066
"7366",93.27,4.25,0,0,0,0,2.48,24067
"7367",62.94,36.26,0,0,0,0,0.8,24069
"7368",95.48,4.52,0,0,0,0,0,24070
"7369",97.63,0,0,0,0,0,2.37,24072
"7370",92.36,5.45,0.35,0.86,0,0.17,0.79,24073
"7371",100,0,0,0,0,0,0,24076
"7372",100,0,0,0,0,0,0,24077
"7373",78.42,18,0,0.98,0,0.46,2.13,24078
"7374",96.05,3.95,0,0,0,0,0,24079
"7375",64.13,35.87,0,0,0,0,0,24082
"7376",92.31,7.69,0,0,0,0,0,24083
"7377",93.61,4.81,0,0.07,0,0.19,1.32,24084
"7378",87.76,9.3,1.03,0,0,0,1.91,24085
"7379",100,0,0,0,0,0,0,24086
"7380",96.88,2.42,0,0,0,0,0.7,24087
"7381",85.33,13.38,0,0.04,0,0.49,0.75,24088
"7382",67.65,27.17,0,0,0,4.26,0.92,24089
"7383",93.25,4.9,0.04,0,0,0.16,1.65,24090
"7384",94.77,2.33,0.36,1.38,0,0,1.15,24091
"7385",93,7,0,0,0,0,0,24092
"7386",100,0,0,0,0,0,0,24093
"7387",95.25,2.89,0,0,0,0,1.86,24095
"7388",90.87,4.86,0.3,0,0.11,0,3.86,24101
"7389",97.07,1.02,0,0,0,0,1.92,24102
"7390",94.34,1.05,0,0,0,0,4.61,24104
"7391",100,0,0,0,0,0,0,24105
"7392",60.74,35.31,0.39,0.5,0,1.45,1.61,24112
"7393",93.73,0,3.61,0.11,0,0,2.55,24120
"7394",95.12,3.07,0.1,0.4,0,1.03,0.27,24121
"7395",91.11,6.67,0,0,0,0.05,2.17,24122
"7396",98.18,0.5,0,0.02,0,0,1.3,24124
"7397",96.5,0.23,0,0.51,0,0,2.75,24127
"7398",99.52,0,0,0,0,0,0.48,24128
"7399",NA,NA,NA,NA,NA,NA,NA,24130
"7400",100,0,0,0,0,0,0,24131
"7401",100,0,0,0,0,0,0,24132
"7402",99.07,0.93,0,0,0,0,0,24133
"7403",96.37,0.78,0.46,0.32,0,0,2.06,24134
"7404",92.36,3.23,0.95,0.61,0.17,1.11,1.56,24136
"7405",86.93,10.92,0,0,0,1.76,0.38,24137
"7406",92.59,3.83,0,0,0,0,3.58,24138
"7407",68.75,30.38,0,0,0,0.12,0.75,24139
"7408",90.53,5.11,0,0.92,0,1.02,2.42,24141
"7409",76.52,16.33,0,2.79,0.4,0.22,3.74,24142
"7410",96.38,1.52,0,0.25,0,1.18,0.67,24147
"7411",84.4,13.86,0.05,0.31,0,0,1.38,24148
"7412",98.85,0,0,0,0,1.15,0,24149
"7413",100,0,0,0,0,0,0,24150
"7414",84.9,13.81,0.28,0.3,0,0.03,0.68,24151
"7415",90.07,6.63,0,1.43,0,0.91,0.96,24153
"7416",93.77,6.23,0,0,0,0,0,24161
"7417",96.78,3.22,0,0,0,0,0,24162
"7418",64.71,35.29,0,0,0,0,0,24165
"7419",100,0,0,0,0,0,0,24167
"7420",100,0,0,0,0,0,0,24168
"7421",89.87,9.72,0,0,0,0.15,0.25,24171
"7422",93.02,5.89,0,0,0,0,1.09,24174
"7423",94.95,2.69,0,0.16,0,0.03,2.17,24175
"7424",99.25,0.7,0,0,0,0.06,0,24176
"7425",91.37,6.19,0,0.77,0,0.06,1.61,24179
"7426",91.61,2.82,0,1.15,0,0.75,3.66,24184
"7427",95.99,0,0,0,0,0,4.01,24185
"7428",90.31,6.95,0.73,0.63,0,0.52,0.86,24201
"7429",99.23,0.02,0,0.37,0,0,0.37,24202
"7430",96.2,2.33,0.07,0.07,0,0.32,1,24210
"7431",95.99,0.97,0.31,1.02,0,0.26,1.45,24211
"7432",94.81,2.01,0,0.69,0,0,2.49,24216
"7433",100,0,0,0,0,0,0,24217
"7434",87.91,9.78,0.03,0.33,0,0.61,1.34,24219
"7435",100,0,0,0,0,0,0,24220
"7436",100,0,0,0,0,0,0,24221
"7437",97.96,0.53,0,0.32,0,1.04,0.15,24224
"7438",100,0,0,0,0,0,0,24225
"7439",98.77,0.76,0,0.18,0,0,0.29,24226
"7440",97.5,0.56,0,0.15,0,0.14,1.66,24228
"7441",95.72,2.88,0,0.23,0,0.52,0.65,24230
"7442",99.41,0.03,0,0,0,0,0.56,24236
"7443",100,0,0,0,0,0,0,24237
"7444",100,0,0,0,0,0,0,24239
"7445",99.32,0.68,0,0,0,0,0,24243
"7446",96.99,1.23,0.16,0.3,0,0,1.32,24244
"7447",99.74,0,0,0,0,0,0.26,24245
"7448",100,0,0,0,0,0,0,24246
"7449",98.25,0,1.75,0,0,0,0,24248
"7450",100,0,0,0,0,0,0,24250
"7451",98.26,0.74,0,0.28,0,0,0.72,24251
"7452",98.84,0.66,0,0.28,0,0,0.22,24256
"7453",100,0,0,0,0,0,0,24258
"7454",95.33,1.28,0.25,0.02,0,0.02,3.11,24260
"7455",99.21,0.66,0,0.13,0,0,0,24263
"7456",100,0,0,0,0,0,0,24265
"7457",95.33,3.21,0.11,0.61,0,0.12,0.62,24266
"7458",100,0,0,0,0,0,0,24269
"7459",100,0,0,0,0,0,0,24270
"7460",99.92,0,0,0,0,0.08,0,24271
"7461",100,0,0,0,0,0,0,24272
"7462",93.15,4.07,0,0,0,1.38,1.41,24273
"7463",84.15,10.91,0.41,0.06,0,2.11,2.35,24277
"7464",90.19,8.64,0.12,0,0,0.11,0.95,24279
"7465",99.57,0.43,0,0,0,0,0,24280
"7466",100,0,0,0,0,0,0,24281
"7467",100,0,0,0,0,0,0,24282
"7468",96.92,1.77,0,0.23,0,1.09,0,24283
"7469",96.52,0,0,2.51,0,0,0.97,24290
"7470",99.64,0,0,0,0,0.36,0,24292
"7471",97.11,1.09,0.29,0.96,0,0.22,0.33,24293
"7472",89.2,8.25,0,1.55,0,0.11,0.89,24301
"7473",96.64,0,0,1.84,0,0,1.52,24311
"7474",98.6,1.4,0,0,0,0,0,24312
"7475",100,0,0,0,0,0,0,24313
"7476",92.72,0.79,0,0,0,0,6.5,24314
"7477",92.84,6.62,0,0,0.2,0,0.33,24315
"7478",100,0,0,0,0,0,0,24316
"7479",95.57,1.64,0,0,0,0,2.79,24317
"7480",100,0,0,0,0,0,0,24318
"7481",98.42,0.09,0.03,0.18,0,0,1.28,24319
"7482",100,0,0,0,0,0,0,24322
"7483",100,0,0,0,0,0,0,24323
"7484",96.79,0,0,0,0,0.63,2.58,24324
"7485",100,0,0,0,0,0,0,24325
"7486",85.98,0.1,0,0,13.92,0,0,24326
"7487",100,0,0,0,0,0,0,24328
"7488",99.25,0,0,0.11,0,0,0.64,24330
"7489",96.3,2.11,0.18,0.04,0,0,1.37,24333
"7490",97.97,0.87,0.2,0.52,0,0,0.44,24340
"7491",97.32,0.05,0,0,0,0.64,2,24343
"7492",97.93,0.83,0,0,0,0.77,0.46,24347
"7493",92.22,5.34,0,0,0,1.16,1.28,24348
"7494",97.44,1.67,0,0,0,0,0.89,24350
"7495",100,0,0,0,0,0,0,24351
"7496",96.97,2.06,0,0.98,0,0,0,24352
"7497",94.22,4.12,0.1,0.04,0,0.05,1.46,24354
"7498",94.06,5.37,0,0.49,0,0,0.08,24360
"7499",91.24,3.5,0.33,1.23,0,0.94,2.77,24361
"7500",97.58,2.01,0,0,0,0,0.4,24363
"7501",88.79,11.21,0,0,0,0,0,24366
"7502",99.49,0,0,0,0,0.21,0.31,24368
"7503",98.01,0.22,0,0.72,0,0,1.04,24370
"7504",99.31,0,0,0,0,0,0.69,24374
"7505",100,0,0,0,0,0,0,24375
"7506",85.31,0,0,0,0,0,14.69,24377
"7507",99.72,0,0,0,0,0,0.28,24378
"7508",95.56,0,0,1.2,0,0,3.24,24380
"7509",98.27,0.57,0,0.74,0,0.14,0.28,24381
"7510",93.16,5.36,0.11,1.06,0,0.17,0.15,24382
"7511",87.26,9.48,0.07,0.56,0,0.51,2.12,24401
"7512",100,0,0,0,0,0,0,24411
"7513",100,0,0,0,0,0,0,24412
"7514",100,0,0,0,0,0,0,24413
"7515",95.4,4.6,0,0,0,0,0,24415
"7516",92.05,6.1,0,0.06,0.23,0.13,1.44,24416
"7517",97.12,2.88,0,0,0,0,0,24421
"7518",91.16,7.07,0,0.28,0,0.07,1.42,24422
"7519",90.98,6.83,0.06,0.29,0,0.53,1.32,24426
"7520",66.13,30.99,0,0.61,0,1.58,0.69,24430
"7521",100,0,0,0,0,0,0,24431
