"","WhiteAlone","BlackOrAfricanAmericanAlone","AmericanIndianAndAlaskaNativeAlone","AsianAlone","NativeHawaiianAndOtherPacificIslanderAlone","SomeOtherRaceAlone","TwoOrMoreRaces","Id2"
"106",67.3,7.72,0.17,0.73,0,4,20.09,926
"107",85.2,8.19,0,0.1,0,3.86,2.65,927
"108",55.51,17.55,0,0,0,26.94,0,934
"109",54.74,11.29,0,5.04,0,15.2,13.73,936
"110",56.62,10.18,0.26,0.09,0.01,2.42,30.42,949
"111",NA,NA,NA,NA,NA,NA,NA,950
"112",43.75,56.25,0,0,0,0,0,951
"113",23.46,10.31,0,0,0,4.13,62.1,952
"114",58.09,6.97,0.17,0.02,0,7.59,27.17,953
"115",61.99,7.95,0.61,0.25,0,12.55,16.65,956
"116",61.85,8.14,0.73,0.46,0.01,8.96,19.84,957
"117",61.87,7.82,1.16,0.17,0,5.15,23.83,959
"118",46.06,7.69,0.94,0.53,0,10.96,33.82,960
"119",55.2,7.66,0.73,0.59,0,4.16,31.66,961
"120",64.87,9.67,0.5,0.08,0,20.27,4.6,962
"121",59.82,12.82,0.56,0.06,0,19.15,7.6,965
"122",82.9,3.52,0.23,0.2,0,8.75,4.4,966
"123",93.8,1.81,0,0,0,3.34,1.05,968
"124",82.9,4.54,0.47,0.17,0,7.11,4.81,969
"125",67.99,6.03,0.23,0,0,20.83,4.91,971
"126",61.78,8.3,0.08,0.12,0,2.6,27.12,976
"127",79.01,10.75,0.81,2.38,0,2.89,4.17,979
"128",62.17,22.34,1.37,1.28,0,7.79,5.06,982
"129",59.35,20.75,2.38,1.01,0,10.54,5.97,983
"130",56.94,22.85,0.67,0.5,0,15.42,3.6,985
"131",60.87,17.74,1.89,0.39,0,14.1,5,987
"132",92.26,1.18,0.14,2.7,0.16,2.55,1.01,1001
"133",80.7,4.47,0.43,10.84,0,0.5,3.06,1002
"134",81.06,6.09,0,11.09,0.14,0.66,0.95,1003
"135",97.67,0.34,0.11,1.89,0,0,0,1005
"136",93.23,1.77,0,2.33,0,0.46,2.21,1007
"137",98.86,0,0,0.87,0,0.26,0,1008
"138",95.53,0,0,0,0,0,4.47,1009
"139",100,0,0,0,0,0,0,1010
"140",96.39,1.13,0,0.78,0,0.5,1.2,1011
"141",99.31,0,0,0,0,0,0.69,1012
"142",82.59,4.09,0.14,1.68,0,9.6,1.9,1013
"143",88.72,2.41,0.06,1.41,0,4.71,2.68,1020
"144",79.46,11.35,0,0.68,0,2,6.51,1022
"145",97.26,0.85,0.38,0,0,0,1.51,1026
"146",91.41,1.03,0,4.28,0,1.22,2.06,1027
"147",93.84,3.47,0,1.59,0,0.36,0.75,1028
"148",93.29,0,0,6.38,0,0,0.34,1029
"149",94.39,2.33,1.27,1.17,0,0.4,0.43,1030
"150",91.04,0,1.15,0.74,0,0,7.08,1031
"151",97.89,0,0,1.05,0,0,1.05,1032
"152",99.22,0,0,0,0,0.23,0.55,1033
"153",97.93,0.23,0.78,0.32,0,0,0.74,1034
"154",94.98,2.78,0,1.35,0,0.44,0.46,1035
"155",97.8,0.64,0,0,0,0,1.56,1036
"156",94.07,0,0,0,0,5.93,0,1037
"157",98.55,0.32,0,0,0,0,1.13,1038
"158",98.85,0,0,0.45,0,0,0.7,1039
"159",82.33,4.19,0.3,0.9,0,10.46,1.81,1040
"160",94.47,0.78,0,0.43,0,0.43,3.89,1050
"161",88,5.19,0,1.99,0,0.89,3.93,1053
"162",92.38,3.58,0,1.36,0,0.17,2.5,1054
"163",95.08,1.32,0.13,0.53,0.12,1.31,1.52,1056
"164",96.53,0.46,0,0.33,0,0.41,2.26,1057
"165",82.33,4.36,0.25,9.04,0.05,2.24,1.72,1060
"166",90.87,1.84,0,3.65,0,1.15,2.49,1062
"167",73.91,8.7,0,11.65,0,0.62,5.12,1063
"168",NA,NA,NA,NA,NA,NA,NA,1066
"169",99.51,0,0.11,0,0,0,0.38,1068
"170",99.1,0.46,0,0,0,0,0.45,1069
"171",93.96,1.04,0.35,2.25,0,0.17,2.25,1070
"172",96.15,0.29,0,0.29,0,0,3.28,1071
"173",92.08,1.02,0.27,1.02,0,0,5.6,1072
"174",97.62,0.58,0,0,0,0.22,1.58,1073
"175",100,0,0,0,0,0,0,1074
"176",92.47,2.62,0.1,2.79,0.07,0.56,1.4,1075
"177",95.84,0.06,0,1.76,0,0.65,1.69,1077
"178",96.77,0,0,0,0,0,3.23,1079
"179",95.28,1.54,0,0.4,0,0,2.78,1080
"180",97.18,0.47,0.59,0,0,0.18,1.59,1081
"181",98.14,0.14,0.16,0.08,0.18,0.17,1.12,1082
"182",98.41,0,0,0,0,0.96,0.64,1083
"183",100,0,0,0,0,0,0,1084
"184",90.66,1.5,0.07,2.41,0.12,3.72,1.53,1085
"185",92.78,5.82,0,0.98,0,0.41,0,1086
"186",93.57,6.43,0,0,0,0,0,1088
"187",86.43,3.9,0.76,4.11,0,3.21,1.59,1089
"188",99.91,0.09,0,0,0,0,0,1092
"189",98.94,0,0,0,0,0,1.06,1093
"190",100,0,0,0,0,0,0,1094
"191",95.68,1.75,0.01,1.51,0,0.22,0.83,1095
"192",97.78,0.62,0,0.18,0,0,1.42,1096
"193",100,0,0,0,0,0,0,1097
"194",96.58,0.74,0,1.02,0.19,0.56,0.93,1098
"195",57.47,15.18,0.39,2.31,0,22.5,2.15,1103
"196",56.85,12.58,0.08,0.68,0,25.26,4.56,1104
"197",30.83,22.27,0.93,0,0.03,41.75,4.19,1105
"198",90.72,0.84,0,7.04,0,0.63,0.77,1106
"199",45.04,12.41,1.1,0.6,0,36.39,4.45,1107
"200",52.99,20.54,1.61,5.06,0,16.42,3.39,1108
"201",32.57,39.39,0.24,1.27,0,20.54,5.98,1109
"202",79.51,13.19,0,3.53,0,1.58,2.19,1118
"203",64.28,24.5,1.12,1.42,0,6.32,2.36,1119
"204",82.66,11.63,0,0,0,4.01,1.7,1128
"205",69.87,17.19,0,4.32,0,4.97,3.65,1129
"206",64.1,14.93,0.19,4.07,0.11,13.55,3.04,1151
"207",NA,NA,NA,NA,NA,NA,NA,1199
"208",89.36,5.22,0.15,1.14,0.02,0.99,3.12,1201
"209",97.36,0.47,0.31,0,0,0.42,1.44,1220
"210",96.15,0,0,1.12,0,0,2.73,1222
"211",96.21,0.34,0.13,1.66,0,0.3,1.36,1223
"212",64.6,0,0,35.4,0,0,0,1224
"213",99.15,0.56,0,0,0,0.29,0,1225
"214",99.17,0.46,0.19,0,0,0.07,0.11,1226
"215",100,0,0,0,0,0,0,1229
"216",87.13,2.76,0,1.94,0,3.61,4.56,1230
"217",96.9,0.79,0.56,0.4,0,0.2,1.15,1235
"218",90.74,1.35,0.74,1.35,0,0,5.82,1236
"219",99.36,0.28,0,0.2,0,0,0.16,1237
"220",96.58,0.15,0,1.06,0,2.15,0.06,1238
"221",94.67,0.93,0.21,2.82,0,0,1.37,1240
"222",99.35,0,0,0,0,0,0.65,1242
"223",92.75,0,7.25,0,0,0,0,1243
"224",94,0,0,0,0,6,0,1244
"225",95.45,1.65,0,0,0,0,2.89,1245
"226",93.21,2.15,0.57,0.46,0.18,0.21,3.23,1247
"227",97.98,0.54,0,0,0,0,1.48,1253
"228",97.09,0.1,1,0.9,0,0.5,0.4,1254
"229",91.08,0,0.22,3.76,0,0.32,4.62,1255
"230",93.93,2.52,0,0,0,0,3.56,1256
"231",95.19,0.5,0,3.25,0,0.69,0.37,1257
"232",98.36,0.99,0.66,0,0,0,0,1258
"233",92.66,0.65,0,1.96,0,0,4.73,1259
"234",100,0,0,0,0,0,0,1260
"235",89.1,2.39,0,3.66,0,1.19,3.66,1262
"236",100,0,0,0,0,0,0,1264
"237",95.46,2.72,0,0,0,0,1.81,1266
"238",90.47,1.99,0.5,4.2,0,1,1.84,1267
"239",98.26,0,0,0,0,0.37,1.36,1270
"240",92.9,1.24,0.07,1.88,0.04,1.13,2.75,1301
"241",95.39,0.32,0,0.26,0,0,4.03,1330
"242",94.94,0.28,0.13,0.49,0,2.73,1.43,1331
"243",96.9,0.31,0,1.26,0,0.31,1.23,1337
"244",100,0,0,0,0,0,0,1338
"245",97.93,0.5,0.19,0.06,0,0,1.31,1339
"246",93.11,0.34,0.67,3.03,0,0,2.86,1340
"247",94.89,0.62,0,0.75,0,0.25,3.49,1341
"248",84.06,0.13,0,4.18,0,0.27,11.35,1342
"249",100,0,0,0,0,0,0,1343
"250",95.81,0.13,0,0.2,0,0.79,3.08,1344
"251",96.21,0,0,0,0,2.23,1.56,1346
"252",94.62,0,0,0,0,0,5.38,1347
"253",94.31,0,1.3,1.18,0,0,3.2,1349
